Key,Id,English(en)
UI_REQUIREMENT_STAT_MEATSWAPPED_FMT,52949168367329280,Swap {count:plural:{} meat|{} meats}
UI_REQUIREMENT_STAT_PLANETSVISITED_FMT,52949169457848320,Visit {count:plural:{} planet|{} planets}
UI_REQUIREMENT_SOLARSYSTEM_FMT,52949170154102784,Complete {system} on {difficulty}{ascension:cond:>0? A{}|}
UI_REQUIREMENT_PLANET_FMT,52949486878580736,Complete {planet}
UI_REQUIREMENT_EMPLOYEERANK_FMT,52949564150243328,Employee Rank {rank}
UI_REQUIREMENT_WEAPONSTAT_OBJECTIVES_FMT,52949730919964672,Complete {count} Primary {count:plural:Directive|Directives} with {family}
HUNTER_ENRAGE_TIMER,53525888526966784,Enrage in:
UI_TERMINAL_WEAPONS_TITLE,53934907058020352,WEAPON TERMINAL
UI_TERMINAL_WEAPONS_BACK,53934967472775168,BACK TO WEAPON SELECT
UI_TERMINAL_EXIT,53935205264646144,EXIT TERMINAL
UI_UPGRADEGRID_POINTS_AVAIL,53958569882542080,POINTS AVAILABLE:
UI_UPGRADEGRID_RANK_UP,53960174602280960,RANK UP
UI_UPGRADEGRID_WEAPONS,53981706342883328,WEAPON RANK
UI_UPGRADEGRID_MAXRANK,54247495897702400,MAX RANK
UI_UPGRADEGRID_UNLOCK,54247498640777216,UNLOCK
UI_UPGRADEGRID_COST_FMT,54269938343337984,Cost: <b>{points}</b> Points
UI_UPGRADEGRID_CHALLENGE_TITLE,54322765962928128,CHALLENGE
UI_UPGRADEGRID_BLOCKED_DESC,54322889858473984,Unlock adjacent square to reveal challenge
UI_UPGRADEGRID_UNLOCKS_TITLE,54323001598926848,Unlocks:
MESSAGE_BOX_LOAD_DEMO_PROGRESS_TITLE,55860577653682176,Migrate Demo Progress	
MESSAGE_BOX_LOAD_DEMO_MESSAGE,55860579570479104,Save file from the SwapMeat demo was found. Would you like to copy your game progress from the demo? Any existing save data will be overwritten.
MESSAGE_BOX_LOAD_DEMO_SECONDARY,56092050369474560,"No, but remind me next time"
MESSAGE_BOX_LOAD_DEMO_CANCEL,56092051975892992,"No, and never ask again"
MESSAGE_BOX_LOAD_DEMO_CONFIRM,56092048666587136,Yes
UI_WEAPONTERMINAL_INSPECT,56189457739538432,INSPECT WEAPON
CURRENCY_TRADER_TITLE,58576102623272960,Trader Mike
CURRENCY_TRADER_DESCRIPTION,58576262912794624,// Convert Currencies & Resources
COMMON_BACK,58577423170527232,Back
CARL_TERMINAL_TITLE,58588816691159040,Carl Rangus
CARL_TERMINAL_DESCRIPTION,58588929878646784,The best dang manager this side of the galaxy
CARL_TERMINAL_ALL_COMPLETED_ENTRY,58590589204029440,You done gone did everything! Maybe there's more to discover while exploring those planets...
COMMON_COMPLETED,58590894855544832,Completed
TRADER_TERMINAL_EMPTY_ENTRY,58591398792781824,No resources in inventory
TRADER_TERMINAL_ACTION_SELL,58596954802741248,Sell
TRADER_TERMINAL_ACTION_EXCHANGE,58597048063090688,Buy
TRADER_TERMINAL_ACTION_UNAVAILABLE_NO_CURRENCY,58597098013057024,Not enough currency
WEAPON_DAMAGE_FMT,58681057103306752,Damage: {MinDamage} - {MaxDamage}{ProjectileCount:| x{}}{DamageType: ({})|}
WEAPON_RATE_FMT,58682157948723200,{ShotsPerSecond:0.00} rounds/s
WEAPON_CRIT_CHANCE_FMT,58682730970341376,{CritChance:percent()}% / x{Damage:0.00} DMG
WEAPON_EXPOSIVE_RADIUS_FMT,58683047074062336,Explosive Radius: {Radius}m
WEAPON_HEAL_FMT,58683397642379264,Heal Amount: {HealBase}
WEAPON_HEAL_RADIUS_FMT,58683398825172992,Heal Radius: {Radius}
UI_REQUIREMENTS,58737776349143040,Requirements:
,59065052786782208,Cannot respawn while enraged
,59065063629058048,Hold [InputAction:Interact/Interact] to respawn
UI_UPGRADEGRID_PROGRESSCOUNT_FMT,59426037270831104,{current} / {total}
UI_TERMINAL_SMARTMEAT_TITLE,61538986663862272,EMPLOYEE BENEFITS TERMINAL
UI_UPGRADEGRID_SMARTMEAT,61538996168155136,SMART MEAT
UI_UGPRADEGRID_SMARTMEAT_SUBCATEGORY,61538997678104576,YOU ARE THE ULTIMATE WEAPON
UI_UPGRADEGRID_DESC,61619816316788736,Increase rank to get Upgrade Points.
EVENT_DESCRIPTION_TIME_FMT,61552718882267136,{EventText} : {TimeoutText}
EVENT_DESCRIPTION_TIME_ONLY_FMT,61553051326996480,{TimeoutText}
MAIN_MENU_UNSTUCK_BTN_TXT,61894851502731264,I'm stuck!
ITEM_REWARD_NAME_FMT,63053428530601984,{ItemName}{ItemCount:| +{ItemCount}}
UI_WEAPONINSPECT_UNLOCK,63351818913046528,UNLOCK
UI_WEAPONINSPECT_UPGRADES,63351863464943616,RANK UPGRADES
UI_WEAPONINSPECT_UPGRADE_DESC,63364711805083648,Complete challenges to unlock weapon upgrades.<br>Rank up to earn upgrade points to spend.
UI_WEAPONINSPECT_UNLOCK_DESC,63364702686666752,Weapon must be unlocked in order to progress weapon ranks.
UI_WEAPONINSPECT_BASEDAMGE_FMT,63374233634332672,BASE DAMAGE: {MinDamage} - {MaxDamage}{ProjectileCount:| x{}}
UI_WEAPON_RANGE_TITLE,63445794089328640,RANGE
UI_WEAPON_RANGE_FMT,63445941418450944,{Range:0.0}m
UI_WEAPON_RATE_TITLE,63445951468003328,RATE
UI_WEAPON_CRIT_CHANCE_TITLE,63446363281547264,CRIT
UI_WEAPON_MAGAZINE_TITLE,63446478268391424,MAG SIZE
WEAPON_MAGAZINE_FMT,63446480793362432,{MaxCount}
UI_WEAPONINSPECT_RELOAD_BONUS,63529341047267328,RELOAD BONUS:
UI_TAG_EQUIPPED,63534599735599104,EQUIPPED
UI_WEAPONINSPECT_TEST_WEAPON,63534728131633152,TEST IN FIRING RANGE
UI_UPGRADEGRID_WEAPONS_BACK,63713969943076864,BACK TO WEAPON INSPECT
UI_CARLTERMINAL_CLAIM_BTN_CURRENCY_LOCKED,63752030165856256,Not Enough Currency
UI_CARLTERMINAL_CLAIM_BTN_CLAIM,63752028576215040,CLAIM
UI_CARLTERMINAL_CLAIM_BTN_DEMO_LOCKED,63752024679706624,Demo Locked
UI_CARLTERMINAL_CLAIM_BTN_CRAFT,63752026911076352,Purchase
UI_UPGRADEGRID_MAXDEMORANK,63774850287595520,Max Demo Rank
SUBTITLE_LINE_FMT,63797240152449024,<color=#{SpeakerNameColor}>{SpeakerName}:</color> {SpeakerText}
Drain Tunnel,64088669405609984,Drain Tunnel
Drain Tunnel 2,64091624674459648,Drain Tunnel 2
UI_GALAXYMAP_DEMO_LOCKED,65856258359357440,Demo Locked
DIAMOND,66974994580406272,Diamond
PROTECTIVE_CRSYSTAL,66975109500141568,Protective Crystal
SHIELD_GENERATOR,66975448525733888,Shield Generator
UI_OPTS_MULTIPLAYER,67081471604486144,Multiplayer
UI_OPTS_OPTIONS,67081590919852032,Options
UI_OPTS_RETURN_MOTHERSHIP,67081787087450112,Abandon Run
UI_OPTS_QUIT_TO_MAINMENU,67081878519083008,Quit to Main Menu
UI_OPTS_EXIT,67081951311228928,Exit Game
UI_COMPASS_N,68109857843044352,N
UI_COMPASS_NE,68109928332517376,NE
UI_COMPASS_E,68109962709032960,E
UI_COMPASS_SE,68109993440698368,SE
UI_COMPASS_S,68110021160853504,S
UI_COMPASS_SW,68110069386960896,SW
UI_COMPASS_W,68110099468509184,W
UI_COMPASS_NW,68110126031036416,NW
HUNTERS_TIMER_FMT,68162259069689856,{SecondsRemaining:secondstotime()}
HUNTERS_TIMER_REWARD_FMT,68472376516403200,{Count:cond:<0?<color=#FF3667>{}s</color>|+{}s}
EVENT_REWARD_FMT,68757372988809216,{Count}
UI_OPTS_ACCOUNT_TAB,68549317450723328,Account
UI_OPTS_AUDIO_TAB,68549280075280384,Audio
UI_OPTS_VIDEO_TAB,68549243832299520,Video
UI_OPTS_CONTROLLER_TAB,68549200207343616,Controller
UI_OPTS_KEYBOARD_TAB,68549159149301760,Keyboard
UI_OPTS_GAMEPLAY_TAB,68549116929437696,Gameplay
UI_OPTS_LAST_SAVE_TXT,68548738615799808,Last save:<br>{0:timespan(less|minute)} ago<br><br>{Tag}
UI_OPTS_TAB_RIGHT,68549357606989824,[InputAction:UI/NextTab]
UI_OPTS_TAB_LEFT,68548893402394624,[InputAction:UI/PreviousTab]
UI_OPTS_RANGUS_TITLE,68857709201387520,Rangus Menu
UI_OPTS_BACK_INPUT,68857711046881280,[InputAction:UI/Cancel] Back
UI_OPTS_SELECT_INPUT,68857825807233024,[InputAction:UI/Submit] Select
MESSAGE_BOX_LEAVE_TITLE,69160074362155008,Leave Game?
MESSAGE_BOX_LEAVE_HOST_TITLE,69160751356375040,Leave Hosted Game?
MESSAGE_BOX_LEAVE_TXT,69160855006015488,Are you sure you want to leave the game?
MESSAGE_BOX_LEAVE_HOST_TXT,69160978603765760,Are you sure you want to leave this game?<br>You are the Host and leaving will kick all other players.
MESSAGE_BOX_LEAVE_CONFIRM,69161157897678848,Leave Game
MESSAGE_BOX_RETURN_CONFIRM,69163340810612736,Abandon Run
MESSAGE_BOX_RETURN_TITLE,69163337862017024,Abandon Run?
MESSAGE_BOX_RETURN_TXT,69163343302029312,Are you sure you want to abandon your run?
MESSAGE_BOX_RETURN_HOST_TXT,69163346871382016,Are you sure you want to abandon your run?<br>You are the Host and all other players will return with you.
UI_BLOCKLIST_TITLE,69854086446379008,Block List
UI_BLOCKLIST_UNBLOCK_BTN,69854165966188544,Unblock
OPTS_MULTIPLAYER_CURRENT_TEAM,69865368843120640,Current Team
OPTS_MULTIPLAYER_ENABLE_OBSERVERS,69865544915808256,Enable Observers
OPTS_MULTIPLAYER_MANAGE_BLOCKS,69865680991612928,Manage Block List...
UI_OPTS_MUTE_BTN,69867030940938240,Mute
UI_OPTS_KICK_BTN,69867067745955840,Kick
UI_OPTS_BLOCK_BTN,69867107889639424,Block
UI_OPTS_UNMUTE_BTN,69869271953371136,Unmute
UI_OPTS_MULTIPLAYER_TITLE,69893490762248192,Multiplayer
UI_OPTS_RESTORE_DEFAULTS_BTN,70244262565834752,Restore Defaults
UI_OPTS_MOUSE_INVERT_Y,70272412423221248,Invert Y Axis
UI_OPTS_MOUSE_SPEED_X,70272546573840384,Mouse Horizontal Speed
UI_OPTS_MOUSE_SPEED_Y,70272548553551872,Mouse Vertical Speed
UI_OPTS_INPUT_GROUP,70279105097953280,Input
UI_OPTS_GAMEPAD_INVERT_LOOK,70282043379871744,Invert Y Axis (Look)
UI_OPTS_GAMEPAD_INVERT_MOVE,70282061679620096,Invert Y Axis (Move)
UI_OPTS_GAMEPAD_LOOK_SPEED_X,70282063558668288,Gamepad Horizontal Speed
UI_OPTS_GAMEPAD_LOOK_SPEED_Y,70282065131532288,Gamepad Vertical Speed
