Key,Id,Korean(ko)
EMPLOYEE_RANK_RANKUP_FMT,38764977085997056,등급 상승! +{Value}
EMPLOYEE_RANK_TITLE,38764887885733888,직원 등급
EVENT_BANNER_COMPLETE,37577933345251328,완료!
EVENT_BANNER_PRIME_DIRECTIVE,37577651529965568,주요 명령 완료!
EVENT_BANNER_SECONDARY_DIRECTIVE,37581156248444928,보조 명령 완료!
EVENT_COMPLETE_NO_REWARDS,43499746143232000,완료!
EVENT_COMPLETE_REWARDS,36526246664855552,보상:
EVENT_DESCRIPTION_TIME_FMT,61552718882267136,{EventText}: {TimeoutText}
EVENT_DESCRIPTION_TIME_ONLY_FMT,61553051326996480,{TimeoutText}
EVENT_HEADER_PRIME,35806126556569600,주요 명령
EVENT_HEADER_SECONDARY,35806182923821056,보조 명령
EVENT_HUNTER_TIMER_ADVANCED,43479223816413184,헌터 도착 가속
EVENT_HUNTER_TIMER_DELAYED,43480205547790336,헌터 도착 지연
EVENT_OBJECTIVE_DAMAGE_ANY_ENEMY_FMT,45684262786031616,손상됨 <nobr>{NumDamaged}/{NumToDamage}</nobr>
EVENT_OBJECTIVE_TASKS_FMT,45737656791851008,<nobr>{NumDone}/{NumTodo}</nobr> {Detail}
EVENT_REWARD_FMT,68757372988809216,{Count}
EXHAUST_PORT,46628107665268736,배기 포트
GOAL!,46628109821140992,목표 달성!
GOOBER_TURRET,46628113809924096,구버 포탑
HARVESTER_CORE,46389181780320256,수확기 코어
HEALTH_STATION,46628116695605248,체력 스테이션
HUD_CHECKPOINT_TOAST,71718200525385728,체크포인트가 저장되었습니다!
HUNTER_ENRAGE_TIMER,53525888526966784,분노까지:
HUNTER_THREAT_BANISHED,35125235089924096,추방!
HUNTER_THREAT_DANGER,35125167033147392,위험!
HUNTER_THREAT_ENRAGED,35125494096584704,!!헌터들 격노!!
HUNTER_THREAT_IMMINENT,35125348260634624,위협이 임박했습니다!!
HUNTER_THREAT_PANTS,35125431806976000,!!무서워서 오줌을 지리게 해주마!!
HUNTERS_TIMER_FMT,68162259069689856,{SecondsRemaining:secondstotime()}
HUNTERS_TIMER_REWARD_FMT,68472376516403200,{Count:cond:<0?<color=#FF3667>{}초</color>|+{}초}
INSECT_EGGS,46628101830991872,곤충 알
INTERACT_PROMPT_HEALTH_GAIN_FMT,43375595235565568,+{HealthGain}
INTERACT_PROMPT_PING,43136443831279616,[InputAction:Gameplay/MarkTarget] 핑
INTERACTION_PROMPT_HOLD_SUCCESS,43183389103087616,성공!
INTERACTION_PROMPT_TYPE_HOLD_FMT,43127738511384576,{BindingText} 길게 눌러 {ActionText}
INTERACTION_PROMPT_TYPE_NONE_FMT,43126879249489920,{ActionText}
INTERACTION_PROMPT_TYPE_PRESS_FMT,43127706953441280,{BindingText} {ActionText}
ITEM_INSPECTION_PROMPT,42642500681195520,살펴보기
ITEM_NOTIFICATION_NEW_ITEM,42646904150941696,신규!
ITEM_NOTIFICATION_STACK_COUNT_FMT,42659474148679680,x{StackCount}
ITEM_RARITY_COMMON,42668023662764032,일반
ITEM_RARITY_EPIC,42668027727044608,특급
ITEM_RARITY_LEGENDARY,42668029052444672,전설
ITEM_RARITY_RARE,42668026103848960,희귀
ITEM_RARITY_UNCOMMON,42668357307064320,고급
ITEM_REWARD_NAME_FMT,63053428530601984,{ItemName}{ItemCount:| +{ItemCount}}
JELLY_FORGE,46628102367862784,젤리 대장간
JOIN_GAME_PLAYERCOUNT_FMT,48096123611504640,{Current}/{Max}
JOIN_GAME_PLAYERNAME_FMT,48095464992530432,{PlayerName}의 게임
JOIN_GAME_PROTOCOL_MISMATCH,48097039647498240,버전 불일치
JOIN_GAME_SPECTATE,47816347118198784,관전
JUMP_PAD,46406064923467776,점프 패드
LOADOUT_ARTIFACT_NONE_DESC,38383465480052736,애석하게도 텅 빈 장비 슬롯입니다.
LOADOUT_ARTIFACT_NONE_TITLE,38383464444059648,유물 없음
LOADOUT_FLAIR_NONE_DESC,38383568223723520,자신을 표현하고 싶지 않나요?
LOADOUT_FLAIR_NONE_TITLE,38383466306330624,"저기, 재능이 없는데!"
LOADOUT_WEAPON_NONE_DESC,38383462514679808,"음, 망할."
LOADOUT_WEAPON_NONE_TITLE,38383410991849472,무기 없음
MAIN_MENU_ABANDON_RUN,31077628587794432,로비로 나가기
MAIN_MENU_DEBUG_HEADER,31076998813048832,디버그
MAIN_MENU_DISCORD_SERVER_BUTTON,31076690544287744,Discord에서 만나기
MAIN_MENU_EXIT,31077710762598400,게임 종료
MAIN_MENU_MULTIPLAYER,31077375373467648,멀티플레이어
MAIN_MENU_OPTIONS,31077450753499136,옵션
MAIN_MENU_RESUME,31077530629824512,이어하기 [InputAction:UI/Cancel]
MAIN_MENU_SKIP_TUTORIAL,31076355092242432,튜토리얼 건너뛰기
MAIN_MENU_UNSTUCK_BTN_TXT,61894851502731264,끼었어요!
MAIN_MENU_UPLOAD_LOGS,31077125934014464,로그 업로드
MAIN_MENU_WISHLIST,31077254808199168,Steam 찜 목록 추가
MEAT_CORE_SITE,46628112702627840,고기 코어 현장
MEAT_MUSH,46628103278026752,고기 곤죽
MENACING_TENTACLE,46628121766518784,위협적인 촉수
MENU_COMMON_BACK,47855835508891648,[InputAction:UI/Cancel] 뒤로 가기
MESSAGE_BOX_ABANDON_RUN_CANCEL,31141851095359488,취소
MESSAGE_BOX_ABANDON_RUN_CONFIRM,31141825619156992,런 포기
MESSAGE_BOX_ABANDON_RUN_MESSAGE,31141795957039104,런을 포기하고 ROX-1로 돌아가시겠습니까?
MESSAGE_BOX_ABANDON_RUN_TITLE,31141752260780032,이번 런 포기
MESSAGE_BOX_BLOCK_PLAYER_CANCEL,31122765070196736,취소
MESSAGE_BOX_BLOCK_PLAYER_CONFIRM,31122718286929920,차단
MESSAGE_BOX_BLOCK_PLAYER_MESSAGE,31122703279710208,"차단된 플레이어는 귀하가 호스팅한 게임에 참여할 수 없으며, 귀하가 참여한 게임에 참여하게 되면 영구적으로 음소거됩니다.<br><br>{PlayerName}님을 차단하시겠습니까?"
MESSAGE_BOX_BLOCK_PLAYER_TITLE,31122656211230720,플레이어 차단
MESSAGE_BOX_COMPUTER_OVERHEATING_CANCEL,31121502840545280,과열되게 둔다
MESSAGE_BOX_COMPUTER_OVERHEATING_CONFIRM,31121455612682240,식힌다
MESSAGE_BOX_COMPUTER_OVERHEATING_MESSAGE,31121436348243968,해상도와 프레임 속도를 낮추면 냉각에 도움이 될까요?
MESSAGE_BOX_COMPUTER_OVERHEATING_TITLE,31121364780834816,컴퓨터 과열
MESSAGE_BOX_DEFAULT_CANCEL,31145042352529408,취소
MESSAGE_BOX_DEFAULT_CONFIRM,31145012967235584,확인
MESSAGE_BOX_EXIT_GAME_CANCEL,31121900481536000,취소
MESSAGE_BOX_EXIT_GAME_CONFIRM,31121881414230016,메인 메뉴로 나가기
MESSAGE_BOX_EXIT_GAME_MESSAGE,31121844806344704,정말로 친구를 포기하시겠습니까?
MESSAGE_BOX_EXIT_GAME_SECONDARY,31121914842832896,바탕화면으로 나가기
MESSAGE_BOX_EXIT_GAME_TITLE,31121802745864192,게임 종료
MESSAGE_BOX_FEEDBACK_CANCEL,31100557044211712,나중에
MESSAGE_BOX_FEEDBACK_CANCEL_ON_EXIT,31100501750702080,"아니, 괜찮아요"
MESSAGE_BOX_FEEDBACK_CONFIRM,31100327628365824,예!
MESSAGE_BOX_FEEDBACK_MESSAGE,31100033314054144,게임 개선에 도움이 되도록 짧은 설문조사에 참여해 주시겠습니까?
MESSAGE_BOX_FEEDBACK_TITLE,31099905689772032,피드백
MESSAGE_BOX_GAME_FULL_MESSAGE,31122339318980608,죄송합니다. 해당 게임은 이미 가득 찼습니다. 메인 메뉴로 돌아가려면 '확인'을 클릭하세요.
MESSAGE_BOX_GAME_FULL_TITLE,31122293072584704,게임 가득 참
MESSAGE_BOX_JOIN_FRIEND_CANCEL,31104948069457920,"아니오, 괜찮아요!"
MESSAGE_BOX_JOIN_FRIEND_CONFIRM,31104888199962624,게임 참가
MESSAGE_BOX_JOIN_FRIEND_GAME_MESSAGE,31100789127634944,{FriendName}의 게임에 초대받았습니다
MESSAGE_BOX_JOIN_GAME_TITLE,31100726099828736,새로운 게임 참가
MESSAGE_BOX_LEAVE_CONFIRM,69161157897678848,게임 나가기
MESSAGE_BOX_LEAVE_HOST_TITLE,69160751356375040,호스팅된 게임을 떠나시겠습니까?
MESSAGE_BOX_LEAVE_HOST_TXT,69160978603765760,이 게임을 종료하시겠습니까?<br>호스트라서 나갈 경우 다른 플레이어도 모두 추방됩니다.
MESSAGE_BOX_LEAVE_TITLE,69160074362155008,게임을 종료하시겠습니까?
MESSAGE_BOX_LEAVE_TXT,69160855006015488,정말로 게임을 종료하시겠습니까?
MESSAGE_BOX_LOAD_DEMO_CANCEL,56092051975892992,"아니오, 다시 묻지 않습니다."
MESSAGE_BOX_LOAD_DEMO_CONFIRM,56092048666587136,예
MESSAGE_BOX_LOAD_DEMO_MESSAGE,55860579570479104,SwapMeat 데모의 세이브 파일을 찾았습니다. 데모에서 게임 진행 상황을 복사하시겠습니까? 기존의 세이브 데이터를 모두 덮어씁니다.
MESSAGE_BOX_LOAD_DEMO_PROGRESS_TITLE,55860577653682176,데모 진행 상황 불러오기	
MESSAGE_BOX_LOAD_DEMO_SECONDARY,56092050369474560,"아니오, 다음에 알려주세요"
MESSAGE_BOX_MISSING_ARTIFACT_MESSAGE,31142435298992128,궁극기를 선택하지 않고 계속 진행하시겠습니까?
MESSAGE_BOX_NETWORK_DISCONNECT_MESSAGE,31120173598498816,호스트 연결이 끊어졌습니다.
MESSAGE_BOX_NETWORK_DISCONNECT_TITLE,31120107987001344,호스트 연결 끊김
MESSAGE_BOX_NETWORK_TIMEOUT_MESSAGE,31120316263555072,"데이터 송수신 시도 중, 클라이언트 연결 시간이 초과되었습니다."
MESSAGE_BOX_NETWORK_TIMEOUT_TITLE,31120286274281472,오류: 네트워크 시간 초과
MESSAGE_BOX_NEW_BUILD_MESSAGE,31121145544564736,게임의 새 빌드가 출시되었습니다. '확인'을 클릭하여 게임을 다시 시작하고 업데이트 다운로드를 시작하세요.
MESSAGE_BOX_NEW_BUILD_TITLE,31121109494521856,새로운 빌드 출시
MESSAGE_BOX_QUIT_MESSAGE,31098545544093696,정말로 종료하시겠습니까?
MESSAGE_BOX_QUIT_MESSAGE_HOST,45269853613842432,이 게임을 종료하시겠습니까?<br>호스트라서 나갈 경우 다른 플레이어도 모두 추방됩니다.
MESSAGE_BOX_QUIT_TITLE,31098413507403776,게임 종료
MESSAGE_BOX_QUIT_TITLE_HOST,45269738467614720,호스팅된 게임을 떠나시겠습니까?
MESSAGE_BOX_REBIND_BANNED_MSG_FMT,52961862714585088,"""{InputPath}"" 입력이 글로벌 액션 ""{ActionName}""에 이미 설정되어 있습니다."
MESSAGE_BOX_REBIND_BANNED_TITLE,52961860839731200,키 재설정 실패
MESSAGE_BOX_REBIND_CONFLICT_MSG_FMT,52952037393887232,"""{InputPath}"" 입력이 ""{ActionName}""에 이미 설정되어 있습니다. 새로운 입력을 설정해주세요."
MESSAGE_BOX_REBIND_CONFLICT_TITLE,52952033853894656,키 재설정 충돌
MESSAGE_BOX_RESET_ACCOUNT_CANCEL,31142685069795328,취소
MESSAGE_BOX_RESET_ACCOUNT_CONFIRM,31142672679821312,계정 초기화
MESSAGE_BOX_RESET_ACCOUNT_MESSAGE,31142661908848640,계정을 초기화하시겠습니까?<br>모든 진행 상황과 잠금 해제가 삭제됩니다.
MESSAGE_BOX_RESET_ACCOUNT_TITLE,31142628807401472,계정 초기화
MESSAGE_BOX_RESET_RUN_MESSAGE,31141144124448768,이번 런을 초기화하시겠습니까?
MESSAGE_BOX_RESET_RUN_TITLE,31141105490714624,런 초기화
MESSAGE_BOX_RETURN_CONFIRM,69163340810612736,런 포기
MESSAGE_BOX_RETURN_HOST_TXT,69163346871382016,이번 런을 포기하시겠습니까?<br>호스트라서 다른 플레이어도 모두 복귀합니다.
MESSAGE_BOX_RETURN_TITLE,69163337862017024,런을 포기하시겠습니까?
MESSAGE_BOX_RETURN_TXT,69163343302029312,이번 런을 포기하시겠습니까?
MESSAGE_BOX_SKIP_TUTORIAL_CANCEL,31142171938643968,취소
MESSAGE_BOX_SKIP_TUTORIAL_CONFIRM,31142158563008512,튜토리얼 건너뛰기
MESSAGE_BOX_SKIP_TUTORIAL_MESSAGE,31142143690006528,튜토리얼을 건너뛰고 함선으로 돌아가시겠습니까?
MESSAGE_BOX_SKIP_TUTORIAL_TITLE,31142106562027520,튜토리얼 건너뛰기
MESSAGE_BOX_TUTORIAL_REQUIRED_MESSAGE,31119917020340224,멀티플레이어 게임에 참여하려면 튜토리얼을 먼저 완료해야 합니다.<br>지금 튜토리얼을 시작하시겠습니까?
MESSAGE_BOX_TUTORIAL_REQUIRED_TITLE,31119792659226624,튜토리얼 필요
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_MESSAGE,51432919170801664,튜토리얼을 다시 플레이하려면 싱글 플레이어로 다시 시작해야 합니다.<br>메인 메뉴로 돌아가 싱글 플레이어 게임을 시작하시겠습니까?
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_TITLE,51432847888605184,튜토리얼 경고
MESSAGE_BOX_VERSION_MISMATCH_MESSAGE,31120802169479168,버전 불일치로 인해 게임에 참여할 수 없습니다. 최신 업데이트를 받으려면 본인과 호스트 모두 게임을 다시 시작해야 할 수 있습니다.
MESSAGE_BOX_VERSION_MISMATCH_TITLE,31120753725267968,버전 불일치
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CANCEL,31143010442928128,변경 사항 되돌리기
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CONFIRM,31142998338166784,변경 사항 수락하기
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_MESSAGE,31142986732527616,동영상 설정이 변경되었습니다. 수락하시겠습니까?<br><br>설정은 5초 후에 자동으로 복원됩니다.
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_TITLE,31142952192434176,동영상 설정이 변경되었습니다
MODE_SELECT_CONTINUE_BTN_FMT,88516393607032832,행성계 {SystemNum} - {PlanetName}
MODE_SELECT_CREATE_FRIENDS_DESC,71007351351472128,친구들이 당신의 게임을 찾아 참여할 수 있습니다
MODE_SELECT_CREATE_FRIENDS_TITLE,71007349887660032,친구
MODE_SELECT_CREATE_PUBLIC_DESC,71007348780363776,누구나 참여할 수 있어 스트리밍에 완벽합니다!
MODE_SELECT_CREATE_PUBLIC_TITLE,71007346976813056,공개
MODE_SELECT_CREATE_SOLO_DESC,71007345391366144,혼자 플레이하거나 다른 사람을 초대하여 플레이합니다
MODE_SELECT_CREATE_SOLO_TITLE,71007343826890752,비공개
MODE_SELECT_FRIENDS_GAME,70420085428121600,친구
MODE_SELECT_FRIENDS_GAME_DESC,70420318446874624,친구들이 당신의 게임을 찾아 참여할 수 있습니다
MODE_SELECT_FRIENDS_ONLY,47782185145458688,(친구 전용)
MODE_SELECT_GAME_MODE_TITLE,71011334463877120,게임 모드
MODE_SELECT_HOST_FRIENDS_ONLY,278383288320,비공개 호스트
MODE_SELECT_HOST_PRIVATE,327255318528,싱글 플레이어
MODE_SELECT_HOST_PUBLIC,214248185856,공개 호스트
MODE_SELECT_JOIN_BTN,70420672118976512,게임 참가
MODE_SELECT_JOIN_GAME_TITLE,45666886526951424,게임 참가
MODE_SELECT_PLAY_BT,71007312436719616,플레이
MODE_SELECT_PLAY_BTN,70420636043767808,플레이
MODE_SELECT_PUBLIC_GAME,70420047901683712,공개
MODE_SELECT_PUBLIC_GAME_DESC,70420200670818304,누구나 참여할 수 있어 스트리밍에 완벽합니다!
MODE_SELECT_SOLO_GAME,70420012703084544,비공개
MODE_SELECT_SOLO_GAME_DESC,70420126205145088,혼자 플레이하거나 다른 사람을 초대하여 플레이합니다
MODE_SELECT_TITLE,45666774727778304,모드 선택
MEAT_DISPENSER,46628101025685504,고기 자판기
NODE_1,46389232518815744,노드 1
NODE_2,46389312764239872,노드 2
NODE_3,46389348839448576,노드 3
NODE_4,46389350567501824,노드 4
Open Hatch,70668568375361536,해치 열기
OPEN_DOOR,46628110437703680,문 열기
OPTS_MULTIPLAYER_CURRENT_TEAM,69865368843120640,현재 팀
OPTS_MULTIPLAYER_ENABLE_OBSERVERS,69865544915808256,관전자 활성화
OPTS_MULTIPLAYER_MANAGE_BLOCKS,69865680991612928,차단 목록 관리...
PAYLOAD,46628108462186496,페이로드
PIN_MARKER,46746956646510592,핀!
PROTECTIVE_CRSYSTAL,66975109500141568,보호 수정
RESEARCHER_POD,46628126124400640,직원 포드
SECURE_THE_MEAT_CORE!,46628112652296192,고기 코어를 확보하세요!
SENTRY_TURRET,46628102288171008,감시 포탑
SHIELD_GENERATOR,66975448525733888,보호막 생성기
SMOKER_1_ACTIVATOR!,46628102149758976,누커 1 활성 장치
SMOKER_2_ACTIVATOR!,46628102149758977,누커 2 활성 장치
SMOKER_3_ACTIVATOR!,46628102149758978,누커 3 활성 장치
SPAWNING_POOL,46628102346891264,산란지
STEERING_PANEL,46628109204578304,제어판
SUBTITLE_LINE_FMT,63797240152449024,<color=#{SpeakerNameColor}>{SpeakerName}:</color> {SpeakerText}
SUPPLY_BOX,46628126061486080,보급 상자
THE_MEAT_MARKET,46628120319483904,고기 시장
TIBBLER'S_HEART,46628108311191552,칼립소의 심장
TIBBLER'S_KIDNEY,46628118494961664,칼립소의 신장
TommyTank,84665130641293312,토미 탱크
TOXIC_SLIME,46628104666341376,독성 점액
TRADER_TERMINAL_ACTION_EXCHANGE,58597048063090688,구매
TRADER_TERMINAL_ACTION_SELL,58596954802741248,판매
TRADER_TERMINAL_ACTION_UNAVAILABLE_NO_CURRENCY,58597098013057024,화폐가 부족합니다
TRADER_TERMINAL_EMPTY_ENTRY,58591398792781824,인벤토리에 자원이 없습니다
Tutorial_LEGABILITY,47863131572002816,[InputAction:Gameplay/LegsAbility] 다리 능력
TUTORIAL_SWAPMEAT,47859765294915584,[InputAction:Interact/Interact] 고기 교체
UI_ANNOUNCEMENT_DIFFICULTY_FMT,74296319433236480,{difficulty}{ascension:cond:>0? Ascension {}|}
UI_ANNOUNCEMENT_ENTER_PLANET_FMT,74296317638074368,{planet} 진입 중
UI_ANNOUNCEMENT_HOST_PAUSED,74296313619931136,호스트가 게임을 일시 중지했습니다
UI_ANNOUNCEMENT_LEVEL_UP,74296314148413440,플레이어들이 레벨업 보상을 선택하고 있습니다
UI_ANNOUNCEMENT_LEVEL_UP_RESUME,74296320918020096,{seconds}초 안에 이어하기
UI_BLOCKLIST_TITLE,69854086446379008,차단 목록
UI_BLOCKLIST_UNBLOCK_BTN,69854165966188544,차단 해제
UI_BOLTBURGER_CONFIGURE,71287883359576064,직원 설정
UI_BOLTBURGER_IGNORE_CARL,89059781141061632,칼 무시하기
UI_BOLTBURGER_INTERACT,71029788435800064,<color=yellow>탈출!</color>
UI_BOLTBURGER_NAME,71029706948861952,볼트 버거
UI_BOLTBURGER_TALK_TO_CARL_DESC,84438058676510720,당신이 은하계를 돌아다니기 전에 칼이 이야기를 나누고 싶어 합니다.
UI_BOLTBURGER_TALK_TO_CARL_TITLE,84438056474501120,매니저와 대화하기
UI_BUYNOWONSTEAM,78930206331494400,지금 Steam에서 구매하기
UI_CARLTERMINAL_CLAIM_BTN_CLAIM,63752028576215040,받기
UI_CARLTERMINAL_CLAIM_BTN_CRAFT,63752026911076352,구매
UI_CARLTERMINAL_CLAIM_BTN_CURRENCY_LOCKED,63752030165856256,화폐 부족
UI_CARLTERMINAL_CLAIM_BTN_DEMO_LOCKED,63752024679706624,데모 잠김
UI_CARLTERMINAL_CLAIM_BTN_REQUIREMENTS_LOCKED,74607019393277952,요구 사항 미충족
UI_CARLTERMINAL_COMPLETED,73167992798568448,완료
UI_CARLTERMINAL_QUESTS,73167908547584000,퀘스트
UI_CARLTERMINAL_UPGRADES,73167953896398848,업그레이드
UI_CHANGE_DIFFICULTY_CLIENT,76472751513133056,호스트에게 게임 난이도를 {difficulty} 난이도로 변경해 달라고 요청하세요.
UI_CHANGE_DIFFICULTY_TO_FMT,76472743611064320,게임 난이도를 {difficulty} 난이도로 변경합니다
UI_COMPASS_E,68109962709032960,E
UI_COMPASS_N,68109857843044352,N
UI_COMPASS_NE,68109928332517376,NE
UI_COMPASS_NW,68110126031036416,NW
UI_COMPASS_S,68110021160853504,S
UI_COMPASS_SE,68109993440698368,SE
UI_COMPASS_SW,68110069386960896,SW
UI_COMPASS_W,68110099468509184,W
UI_CRITS_TEXT,80878169194749952,치명타
UI_DAMAGE_TEXT,71027131851726848,피해
UI_DIFFICULTY_SELECT_TITLE,81165014893846528,난이도 선택
UI_DPS_TEXT,80878240179150848,DPS
UI_ENDSTAGE_CONSUMPTION,80927668453761024,행성 소비
UI_ENDSTAGE_DATA,71871687346348032,데이터
UI_ENDSTAGE_GATHERING_DISCLAIMER,80901562480713728,*수집에는 올바른 라이선스가 필요합니다
UI_ENDSTAGE_LOADOUT,71871691788115968,로드아웃
UI_ENDSTAGE_MATERIAL_FISHING,80927658316128256,낚시 구멍
UI_ENDSTAGE_MATERIAL_MINING,80927660262285312,채굴 노드
UI_ENDSTAGE_MATERIAL_TECH,80927662330077184,고대 기술
UI_ENDSTAGE_NO_MATS_FOUND,80901560471642112,감지된 재료가 없습니다!
UI_ENDSTAGE_PRIME_DIRECTIVES,80927664423034880,주요 명령
UI_ENDSTAGE_REWARDS,71871690248806400,보상
UI_ENDSTAGE_SECONDARY_EVENTS,80927666520186880,보조 이벤트
UI_ENDSTAGE_STATS,71871688839520256,통계
UI_GALAXYMAP_ASCENSION_OFF,78047682533253120,승급: 꺼짐
UI_GALAXYMAP_ASCENSION_ON,78047680209608704,승급: 켜짐
UI_GALAXYMAP_BOSS,77085141590073344,보스
UI_GALAXYMAP_DEMO_LOCKED,65856258359357440,데모 잠김
UI_GALAXYMAP_DIFFICULTY,77085143997603840,난이도
UI_GALAXYMAP_MODE_RANDOM,76942191665078272,무작위 모드
UI_GALAXYMAP_MODE_SCRIPTED,76942188812951552,행성계 {index}
UI_GALAXYMAP_MODE_TUTORIAL,76942183263887360,튜토리얼
UI_GALAXYMAP_MODIFIERS,77085146208002048,수정자
UI_GALAXYMAP_PLANETS,77085138289156096,행성
UI_GALAXYMAP_RANDOM_DESC,77848170049036288,"모든 행성, 적, 보스 교전이 무작위로 결정됩니다."
UI_GALAXYMAP_TUTORIAL_DESC,77848167003971584,가장 쉬운 난이도에서 게임 플레이 메커니즘과 기본 사항을 배워보세요.
UI_GALAXYMAP_UNKNOWN_BOSS,76942179224772608,???
UI_GALAXYMAP_UNKNOWN_PLANET,76942179686146048,???
UI_GALAXYSCREEN_ASCENSION_FMT,77181756770344960,승급: {rank}
UI_GALAXYSCREEN_DIFFICULTY_FMT,77181621885722624,난이도: {difficulty}
UI_GALAXYSCREEN_MODIFIERS_FMT,77181851947491328,수정자: {count}/{max}
UI_GALAXYSELECT_DESTINATION_CURRENT,83744947004497920,여기로 이동
UI_GALAXYSELECT_DESTINATION_SET,83744951232356352,목적지 설정
UI_GALAXYSELECT_DIFFICULTY_NONE,83722034389966848,미완료
UI_GALAXYSELECT_HARDEST_LABEL,83711659535753216,가장 어려움 난이도 완료:
UI_GATHERNODE_REQUIREMENT,71029905968586752,<color=red>{Requirement} 필요</color>
UI_HEALTHPICKUP_INTERACT,71039570580332544,체력 {percentage:percent()}% 회복
UI_HEALTHPICKUP_NAME,71039568562872320,체력 스테이션
UI_HITEFFECT_DESC_FMT,50658861504258048,{trigger}: {effect}
UI_INFOTERMINAL_INTERACT,71029517936746496,열기
UI_INFOTERMINAL_NAME,71029479261069312,도감
UI_INTERACT_PIN,71029310960427008,핀
UI_INTERACTION_LOCKED,81878672011681792,잠김
UI_INTERACTION_MEAT,71029281604493312,획득
UI_ITEM_DESC_FMT,50641214507048960,{attributes:list:|<br>}
UI_ITEMCONTAINER_INTERACT,86195284344823808,아이템 보상 받기
UI_ITEMCONTAINER_NAME,86195272869208064,아이템 컨테이너
UI_KILLS_TEXT,80877989049393152,처치
UI_LOADOUT_EQUIPPED_NONE,70975984860389376,없음
UI_LOADOUT_SLOT_FLAIR,71008883575873536,재능
UI_LOADOUT_SLOT_MELEE,71006502045868032,근접
UI_LOADOUT_SLOT_PRIMARY,71006497910284288,주요
UI_LOADOUT_SLOT_SECONDARY,71006500313620480,보조
UI_LOADOUT_SLOT_ULTIMATE,71006503694229504,정체불명의 고기
UI_LOBBY_TV_NAME,71282475156889600,티비
UI_LOBBY_TV_OFF,71282478541692928,<color=yellow>끄기</color>
