Key,Id,Portuguese (Brazil)(pt-BR)
MESSAGE_BOX_JOIN_FRIEND_GAME_MESSAGE,31100789127634944,{FriendName} convidou você para participar de uma partida
MESSAGE_BOX_JOIN_FRIEND_CONFIRM,31104888199962624,Entrar na Partida
MESSAGE_BOX_JOIN_FRIEND_CANCEL,31104948069457920,"Não, tô de boa!"
MESSAGE_BOX_TUTORIAL_REQUIRED_TITLE,31119792659226624,Tutorial Necessário
MESSAGE_BOX_TUTORIAL_REQUIRED_MESSAGE,31119917020340224,"Para participar de uma partida multijogador, você precisa concluir o tutorial primeiro.<br>Iniciar o tutorial agora?"
MESSAGE_BOX_NETWORK_DISCONNECT_TITLE,31120107987001344,Anfitrião Desconectado
MESSAGE_BOX_NETWORK_DISCONNECT_MESSAGE,31120173598498816,O anfitrião desconectou.
MESSAGE_BOX_NETWORK_TIMEOUT_TITLE,31120286274281472,Erro: Tempo Limite da Rede
MESSAGE_BOX_NETWORK_TIMEOUT_MESSAGE,31120316263555072,Tempo limite de conexão do cliente atingido ao tentar se conectar ou enviar/receber dados
MESSAGE_BOX_VERSION_MISMATCH_TITLE,31120753725267968,Incompatibilidade de Versão
MESSAGE_BOX_VERSION_MISMATCH_MESSAGE,31120802169479168,Não é possível entrar na partida devido a uma diferença na versão do jogo. Você e o anfitrião talvez precisem reiniciar o jogo para instalar as atualizações mais recentes.
MESSAGE_BOX_NEW_BUILD_TITLE,31121109494521856,Nova Versão Disponível
MESSAGE_BOX_NEW_BUILD_MESSAGE,31121145544564736,Uma nova versão do jogo está disponível. Clique em OK para reiniciar e começar a baixar a atualização
MESSAGE_BOX_COMPUTER_OVERHEATING_TITLE,31121364780834816,Computador Superaquecido
MESSAGE_BOX_COMPUTER_OVERHEATING_MESSAGE,31121436348243968,Deseja reduzir a resolução e a taxa de quadros para esfriar o computador?
MESSAGE_BOX_COMPUTER_OVERHEATING_CONFIRM,31121455612682240,Faz ele esfriar a cabeça
MESSAGE_BOX_COMPUTER_OVERHEATING_CANCEL,31121502840545280,Deixa pegar fogo
MESSAGE_BOX_EXIT_GAME_TITLE,31121802745864192,Sair do Jogo
MESSAGE_BOX_EXIT_GAME_MESSAGE,31121844806344704,Quer mesmo abandonar seus amigos?
MESSAGE_BOX_EXIT_GAME_CONFIRM,31121881414230016,Sair para o Menu Principal
MESSAGE_BOX_EXIT_GAME_CANCEL,31121900481536000,Cancelar
MESSAGE_BOX_EXIT_GAME_SECONDARY,31121914842832896,Sair para a Área de Trabalho
MESSAGE_BOX_GAME_FULL_TITLE,31122293072584704,Partida Cheia
MESSAGE_BOX_GAME_FULL_MESSAGE,31122339318980608,"Infelizmente, a partida já está cheia. Clique em OK para voltar ao Menu Principal."
MESSAGE_BOX_BLOCK_PLAYER_TITLE,31122656211230720,Bloquear Jogador
MESSAGE_BOX_BLOCK_PLAYER_MESSAGE,31122703279710208,Jogadores bloqueados não podem participar de partidas criadas por você e são permanentemente silenciados caso vocês joguem em uma mesma partida.<br><br>Quer mesmo bloquear {PlayerName}?
MESSAGE_BOX_BLOCK_PLAYER_CONFIRM,31122718286929920,Bloquear
MESSAGE_BOX_BLOCK_PLAYER_CANCEL,31122765070196736,Cancelar
MESSAGE_BOX_RESET_RUN_TITLE,31141105490714624,Reiniciar Expedição
MESSAGE_BOX_RESET_RUN_MESSAGE,31141144124448768,Quer mesmo reiniciar a expedição?
MESSAGE_BOX_ABANDON_RUN_TITLE,31141752260780032,Abandonar A Expedição
MESSAGE_BOX_ABANDON_RUN_MESSAGE,31141795957039104,Quer mesmo abandonar sua expedição e voltar à ROX-1?
MESSAGE_BOX_ABANDON_RUN_CONFIRM,31141825619156992,Abandonar Expedição
MESSAGE_BOX_ABANDON_RUN_CANCEL,31141851095359488,Cancelar
MESSAGE_BOX_SKIP_TUTORIAL_TITLE,31142106562027520,Pular Tutorial
MESSAGE_BOX_SKIP_TUTORIAL_MESSAGE,31142143690006528,Quer mesmo pular o tutorial e retornar à nave?
MESSAGE_BOX_SKIP_TUTORIAL_CONFIRM,31142158563008512,Pular Tutorial
MESSAGE_BOX_SKIP_TUTORIAL_CANCEL,31142171938643968,Cancelar
MESSAGE_BOX_MISSING_ARTIFACT_MESSAGE,31142435298992128,Quer mesmo continuar sem selecionar uma Suprema?
MESSAGE_BOX_RESET_ACCOUNT_TITLE,31142628807401472,Redefinir Conta
MESSAGE_BOX_RESET_ACCOUNT_MESSAGE,31142661908848640,Quer mesmo redefinir sua conta?<br>Isso excluirá todo o progresso e conteúdo que você desbloqueou.
MESSAGE_BOX_RESET_ACCOUNT_CONFIRM,31142672679821312,Redefinir Conta
MESSAGE_BOX_RESET_ACCOUNT_CANCEL,31142685069795328,Cancelar
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_TITLE,31142952192434176,Configurações de Vídeo Alteradas
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_MESSAGE,31142986732527616,As configurações de vídeo foram alteradas. Aceitar?<br><br>As configurações serão revertidas automaticamente em 5 segundos
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CONFIRM,31142998338166784,Aceitar Alterações
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CANCEL,31143010442928128,Reverter Alterações
MESSAGE_BOX_DEFAULT_CONFIRM,31145012967235584,OK
MESSAGE_BOX_DEFAULT_CANCEL,31145042352529408,Cancelar
HUNTER_THREAT_DANGER,35125167033147392,PERIGO!
HUNTER_THREAT_BANISHED,35125235089924096,BANIDO!
HUNTER_THREAT_IMMINENT,35125348260634624,AMEAÇA IMINENTE!
HUNTER_THREAT_PANTS,35125431806976000,!! HORA DE BORRAR AS CALÇAS !!
HUNTER_THREAT_ENRAGED,35125494096584704,!! CAÇADORES ENFURECIDOS !!
EVENT_HEADER_PRIME,35806126556569600,Diretriz Principal
EVENT_HEADER_SECONDARY,35806182923821056,Diretriz Secundária
EVENT_COMPLETE_REWARDS,36526246664855552,Recompensas:
EVENT_BANNER_PRIME_DIRECTIVE,37577651529965568,Diretriz Principal Concluída!
EVENT_BANNER_COMPLETE,37577933345251328,Concluído!
EVENT_BANNER_SECONDARY_DIRECTIVE,37581156248444928,Diretriz Secundária Concluída!
WEAPON_SWITCH_CHARGED,37939439253577728,Carregado
LOADOUT_WEAPON_NONE_TITLE,38383410991849472,Nenhuma Arma
LOADOUT_WEAPON_NONE_DESC,38383462514679808,O que você está armando?
LOADOUT_ARTIFACT_NONE_TITLE,38383464444059648,Nenhum Artefato
LOADOUT_ARTIFACT_NONE_DESC,38383465480052736,Um espaço de equipamento tão vazio que dá dó.
LOADOUT_FLAIR_NONE_TITLE,38383466306330624,"Xiii, sem Brasão!"
LOADOUT_FLAIR_NONE_DESC,38383568223723520,"Você quer ou não quer se expressar, hein?"
ITEM_INSPECTION_PROMPT,42642500681195520,Inspecionar
ITEM_NOTIFICATION_NEW_ITEM,42646904150941696,Novo!
ITEM_RARITY_COMMON,42668023662764032,Comum
ITEM_RARITY_RARE,42668026103848960,Raro
ITEM_RARITY_EPIC,42668027727044608,Épico
ITEM_RARITY_LEGENDARY,42668029052444672,Lendário
ITEM_RARITY_UNCOMMON,42668357307064320,Incomum
INTERACT_PROMPT_PING,43136443831279616,[InputAction:Gameplay/MarkTarget] Ping
DAMAGE_TYPE_FIRE,43142553082519552,Fogo
DAMAGE_TYPE_ICE,43142575572377600,Gelo
DAMAGE_TYPE_SLIME,43142609625931776,Gosma
DAMAGE_TYPE_ELECTRIC,43142638340136960,Elétrico
DAMAGE_TYPE_KINETIC,43142700797517824,Cinético
INTERACTION_PROMPT_HOLD_SUCCESS,43183389103087616,Sucesso!
EMPLOYEE_RANK_TITLE,38764887885733888,RANQUE DE FUNCIONÁRIO
EMPLOYEE_RANK_RANKUP_FMT,38764977085997056,SUBIU DE RANQUE! +{Value}
EMPLOYEE_RANK_POINTS_FORMAT,38765036250849280,{Current}/{Total} PR
EVENT_HUNTER_TIMER_ADVANCED,43479223816413184,Chegada de Caçador Adiantada
EVENT_HUNTER_TIMER_DELAYED,43480205547790336,Chegada de Caçador Atrasada
EVENT_COMPLETE_NO_REWARDS,43499746143232000,Concluído!
MESSAGE_BOX_QUIT_TITLE_HOST,45269738467614720,Sair da sua própria partida?
MESSAGE_BOX_QUIT_MESSAGE_HOST,45269853613842432,"Quer mesmo sair da partida?<br>Como você criou a partida, todos os jogadores serão removidos ao sair."
WISHLIST_ON_STEAM,45665676281503744,Adicione à Lista de Desejos no<br><b>STEAM</b>
MODE_SELECT_TITLE,45666774727778304,Seleção de Modo
MODE_SELECT_JOIN_GAME_TITLE,45666886526951424,Entrar na Partida
EMERGENCY_TEXT_DEFAULT_TITLE,46144708803489792,Erro de inicialização do aplicativo
EMERGENCY_TEXT_DEFAULT_DESCRIPTION,46144714159616000,Um erro impediu que o aplicativo fosse inicializado corretamente. Reiniciar o computador pode ajudar.
EMERGENCY_TEXT_DEFAULT_FOOTER,46312787621638144,Fique à vontade para falar conosco no canal #create-bug-reports do servidor de Discord de SwapMeat caso precise de ajuda.<br>Este aplicativo será encerrado automaticamente em 30 segundos.
EMERGENCY_TEXT_IO_DESCRIPTION,46312933025574912,"Ocorreu um erro ao tentar ler um ou mais arquivos durante a inicialização. Isso costuma ocorrer devido a verificações incorretas de vírus ou a uma sessão anterior do jogo não encerrada corretamente.<br>Se o problema continuar, reinicie o computador para remover o bloqueio aos arquivos."
HARVESTER_CORE,46389181780320256,Núcleo da Colhedora
NODE_1,46389232518815744,Nódulo 1
NODE_2,46389312764239872,Nódulo 2
NODE_3,46389348839448576,Nódulo 3
NODE_4,46389350567501824,Nódulo 4
JUMP_PAD,46406064923467776,Plataforma de Pulo
MEAT_DISPENSER,46628101025685504,Distribuidor de Carne
COACH_DAN,46628101034074112,Treinador Dan
ALIEN_BULB,46628101419950080,Bulbo Alienígena
A_FRANKEN_TICKLER,46628101457698816,Um Franken Cosquento
INSECT_EGGS,46628101830991872,Ovos de Inseto
SMOKER_1_ACTIVATOR!,46628102149758976,Ativador de Macro-Ondas 1!
SMOKER_2_ACTIVATOR!,46628102149758977,Ativador de Macro-Ondas 2!
SMOKER_3_ACTIVATOR!,46628102149758978,Ativador de Macro-Ondas 3!
A_CAPTURED_SPIDER,46628102279782400,Uma Aranha Capturada
SENTRY_TURRET,46628102288171008,Torreta Sentinela
SPAWNING_POOL,46628102346891264,Área de Surgimento
JELLY_FORGE,46628102367862784,Forja de Geleia
MEAT_MUSH,46628103278026752,Bolo de Carne
TOXIC_SLIME,46628104666341376,Gosma Tóxica
EXHAUST_PORT,46628107665268736,Exaustor
TIBBLER'S_HEART,46628108311191552,Coração de Calipso
PAYLOAD,46628108462186496,Carga
BOLT_BURGER,46628108516712448,Rebimburguer
STEERING_PANEL,46628109204578304,Painel de Controle
GOAL!,46628109821140992,Objetivo!
OPEN_DOOR,46628110437703680,Abrir Porta
AN_ITEM_CAPSULE,46628112023150592,Uma Cápsula de Item
SECURE_THE_MEAT_CORE!,46628112652296192,Proteja o Núcleo de Carne!
A_HIVE_TENDRIL,46628112698433536,Um Broto Coletivo
MEAT_CORE_SITE,46628112702627840,Local do Núcleo de Carne
GOOBER_TURRET,46628113809924096,Torreta Bobona
HEALTH_STATION,46628116695605248,Posto de Vida
TIBBLER'S_KIDNEY,46628118494961664,Rim de Calipso
THE_MEAT_MARKET,46628120319483904,O Mercado de Carnes
MENACING_TENTACLE,46628121766518784,Tentáculo Ameaçador
SUPPLY_BOX,46628126061486080,Caixa de Suprimentos
RESEARCHER_POD,46628126124400640,Cápsula de Funcionário
UI_ITEM_DESC_FMT,50641214507048960,{attributes:list:|<br>}
UI_HITEFFECT_DESC_FMT,50658861504258048,{trigger}: {effect}
MESSAGE_BOX_REBIND_CONFLICT_MSG_FMT,52952037393887232,"O comando ""{InputPath}"" já está vinculado à ação ""{ActionName}"", que agora também precisará ser vinculada a um novo comando."
MESSAGE_BOX_REBIND_BANNED_MSG_FMT,52961862714585088,"O comando ""{InputPath}"" já está vinculado à ação global ""{ActionName}""."
HUNTER_ENRAGE_TIMER,53525888526966784,Fúria em:
UI_UPGRADEGRID_COST_FMT,54269938343337984,Custo: <b>{points}</b> Pontos
WEAPON_DAMAGE_FMT,58681057103306752,Dano: {MinDamage} - {MaxDamage}{ProjectileCount:| x{}}{DamageType: ({})|}
WEAPON_RATE_FMT,58682157948723200,{ShotsPerSecond:0.00} tiros/s
WEAPON_CRIT_CHANCE_FMT,58682730970341376,{CritChance:percent()}% / x{Damage:0.00} de Dano
WEAPON_EXPOSIVE_RADIUS_FMT,58683047074062336,Raio de Explosão: {Radius} m
WEAPON_HEAL_FMT,58683397642379264,Quantidade de Cura: {HealBase}
WEAPON_HEAL_RADIUS_FMT,58683398825172992,Raio de Cura: {Radius}
UI_UPGRADEGRID_PROGRESSCOUNT_FMT,59426037270831104,{current}/{total}
EVENT_DESCRIPTION_TIME_FMT,61552718882267136,{EventText} : {TimeoutText}
EVENT_DESCRIPTION_TIME_ONLY_FMT,61553051326996480,{TimeoutText}
TUTORIAL_SWAPMEAT,47859765294915584,[InputAction:Interact/Interact] trocar de carne
PIN_MARKER,46746956646510592,MARCAR!
Tutorial_LEGABILITY,47863131572002816,[InputAction:Gameplay/LegsAbility] habilidade de pernas
MODE_SELECT_FRIENDS_ONLY,47782185145458688,(Somente Amigos)
JOIN_GAME_SPECTATE,47816347118198784,Espectador
MENU_COMMON_BACK,47855835508891648,[InputAction:UI/Cancel] Voltar
JOIN_GAME_PROTOCOL_MISMATCH,48097039647498240,Incompatibilidade de Versão
CAVE_ENTRANCE,48527482492321792,Entrada da Caverna
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_TITLE,51432847888605184,Aviso do Tutorial
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_MESSAGE,51432919170801664,"Para repetir o tutorial, você precisa reiniciar o modo Um Jogador. <br>Gostaria de retornar ao menu principal para iniciar o jogo no modo Um Jogador?"
MESSAGE_BOX_REBIND_CONFLICT_TITLE,52952033853894656,Conflito ao Revincular Tecla
MESSAGE_BOX_REBIND_BANNED_TITLE,52961860839731200,Falha ao Revincular Tecla
UI_REQUIREMENT_NONE,52948800652697600,Sem Requisitos
UI_REQUIREMENT_PROGRESSFLAG_FMT,52948896446406656,Requer {flag}
UI_REQUIREMENT_STAT_RUNSFAILED_FMT,52949023231827968,Falhe em {count:plural:{} expedição|{} expedições}
UI_REQUIREMENT_STAT_PLANETSCOMPLETED_FMT,52949166408589312,Escape de {count:plural:{} planeta|{} planetas}
UI_REQUIREMENT_STAT_MEATSWAPPED_FMT,52949168367329280,Troque {count:plural:{} carne|{} carnes}
UI_REQUIREMENT_STAT_PLANETSVISITED_FMT,52949169457848320,Visite {count:plural:{} planeta|{} planetas}
UI_REQUIREMENT_SOLARSYSTEM_FMT,52949170154102784,Conclua {system} na dificuldade {difficulty}{ascension:cond:>0? A{}|}
UI_REQUIREMENT_PLANET_FMT,52949486878580736,Conclua {planet}
UI_REQUIREMENT_EMPLOYEERANK_FMT,52949564150243328,Ranque de Funcionário {rank}
UI_REQUIREMENT_WEAPONSTAT_OBJECTIVES_FMT,52949730919964672,Conclua {count} {count:plural: Diretriz Primária|Diretrizes Primárias} com {family}
UI_TERMINAL_WEAPONS_TITLE,53934907058020352,TERMINAL DE ARMAS
UI_TERMINAL_WEAPONS_BACK,53934967472775168,VOLTAR PARA SELEÇÃO DE ARMAS
UI_TERMINAL_EXIT,53935205264646144,SAIR DO TERMINAL
UI_UPGRADEGRID_POINTS_AVAIL,53958569882542080,PONTOS DISPONÍVEIS:
UI_UPGRADEGRID_RANK_UP,53960174602280960,SUBIU DE RANQUE
UI_UPGRADEGRID_WEAPONS,53981706342883328,RANQUE DA ARMA
UI_UPGRADEGRID_MAXRANK,54247495897702400,RANQUE MÁXIMO
UI_UPGRADEGRID_UNLOCK,54247498640777216,DESBLOQUEAR
UI_UPGRADEGRID_CHALLENGE_TITLE,54322765962928128,DESAFIO
UI_UPGRADEGRID_BLOCKED_DESC,54322889858473984,Desbloqueie o quadrado adjacente para revelar o desafio.
UI_UPGRADEGRID_UNLOCKS_TITLE,54323001598926848,Desbloqueia:
MESSAGE_BOX_LOAD_DEMO_PROGRESS_TITLE,55860577653682176,Migrar Progresso da Demonstração	
MESSAGE_BOX_LOAD_DEMO_MESSAGE,55860579570479104,Foi localizado o arquivo salvo da demonstração do SwapMeat. Deseja copiar o progresso de jogo da demonstração? Todos os dados salvos existentes serão substituídos.
MESSAGE_BOX_LOAD_DEMO_CONFIRM,56092048666587136,Sim
MESSAGE_BOX_LOAD_DEMO_SECONDARY,56092050369474560,"Não, mas me lembre da próxima vez"
MESSAGE_BOX_LOAD_DEMO_CANCEL,56092051975892992,"Não, e não pergunte mais"
UI_WEAPONTERMINAL_INSPECT,56189457739538432,INSPECIONAR ARMA
CURRENCY_TRADER_TITLE,58576102623272960,Comerciante Mike
CURRENCY_TRADER_DESCRIPTION,58576262912794624,// Converter Moedas e Recursos
COMMON_BACK,58577423170527232,Voltar
CARL_TERMINAL_TITLE,58588816691159040,Carl Rangus
CARL_TERMINAL_DESCRIPTION,58588929878646784,O melhor gerente desse lado da galáxia.
CARL_TERMINAL_ALL_COMPLETED_ENTRY,58590589204029440,"Você já fez tudo que tinha pra fazer! Mas quem sabe não acha mais coisas escondidas por aí, explorando aqueles planetas..."
COMMON_COMPLETED,58590894855544832,Concluído
TRADER_TERMINAL_EMPTY_ENTRY,58591398792781824,Nenhum recurso no inventário
TRADER_TERMINAL_ACTION_SELL,58596954802741248,Vender
TRADER_TERMINAL_ACTION_EXCHANGE,58597048063090688,Comprar
TRADER_TERMINAL_ACTION_UNAVAILABLE_NO_CURRENCY,58597098013057024,Moedas insuficientes
UI_REQUIREMENTS,58737776349143040,Requisitos:
ITEM_REWARD_NAME_FMT,63053428530601984,{ItemName}{ItemCount:| +{ItemCount}}
SUBTITLE_LINE_FMT,63797240152449024,<color=#{SpeakerNameColor}>{SpeakerName}:</color> {SpeakerText}
Drain Tunnel,64088669405609984,Túnel de Drenagem
Drain Tunnel 2,64091624674459648,Túnel de Drenagem 2
MAIN_MENU_UNSTUCK_BTN_TXT,61894851502731264,Tô preso!
UI_CARLTERMINAL_CLAIM_BTN_CLAIM,63752028576215040,RESGATAR
UI_CARLTERMINAL_CLAIM_BTN_CRAFT,63752026911076352,Comprar
UI_CARLTERMINAL_CLAIM_BTN_CURRENCY_LOCKED,63752030165856256,Moedas Insuficientes
UI_CARLTERMINAL_CLAIM_BTN_DEMO_LOCKED,63752024679706624,Demonstração Bloqueada
UI_GALAXYMAP_DEMO_LOCKED,65856258359357440,Demonstração Bloqueada
UI_TAG_EQUIPPED,63534599735599104,EQUIPADO
UI_TERMINAL_SMARTMEAT_TITLE,61538986663862272,TERMINAL DE BENEFÍCIOS DO FUNCIONÁRIO
UI_UGPRADEGRID_SMARTMEAT_SUBCATEGORY,61538997678104576,VOCÊ É A ARMA SUPREMA
UI_UPGRADEGRID_DESC,61619816316788736,Suba de ranque para obter Pontos de Melhoria.
UI_UPGRADEGRID_MAXDEMORANK,63774850287595520,Ranque Máximo da Demonstração
UI_UPGRADEGRID_SMARTMEAT,61538996168155136,CARNE INTELIGENTE
UI_UPGRADEGRID_WEAPONS_BACK,63713969943076864,VOLTAR PARA INSPEÇÃO DE ARMAS
UI_WEAPON_CRIT_CHANCE_TITLE,63446363281547264,CRÍTICO
UI_WEAPON_MAGAZINE_TITLE,63446478268391424,TAMANHO DO PENTE
UI_WEAPON_RANGE_FMT,63445941418450944,{Range:0.0} m
UI_WEAPON_RANGE_TITLE,63445794089328640,ALCANCE
UI_WEAPON_RATE_TITLE,63445951468003328,TAXA
UI_WEAPONINSPECT_BASEDAMGE_FMT,63374233634332672,DANO BASE: {MinDamage} - {MaxDamage}{ProjectileCount:| x{}}
UI_WEAPONINSPECT_RELOAD_BONUS,63529341047267328,BÔNUS DE RECARGA:
UI_WEAPONINSPECT_TEST_WEAPON,63534728131633152,TESTAR NO CAMPO DE TIRO
UI_WEAPONINSPECT_UNLOCK,63351818913046528,DESBLOQUEAR
UI_WEAPONINSPECT_UNLOCK_DESC,63364702686666752,A arma deve ser desbloqueada para progredir nos ranques.
UI_WEAPONINSPECT_UPGRADE_DESC,63364711805083648,Conclua desafios para desbloquear melhorias de armas.<br>Suba de ranque para ganhar pontos de melhoria para gastar.
UI_WEAPONINSPECT_UPGRADES,63351863464943616,MELHORIAS DE RANQUE
WEAPON_MAGAZINE_FMT,63446480793362432,{MaxCount}
HUNTERS_TIMER_FMT,68162259069689856,{SecondsRemaining:secondstotime()}
HUNTERS_TIMER_REWARD_FMT,68472376516403200,{Count:cond:<0?<color=#FF3667>{}s</color>|+{}s}
UI_OPTS_LAST_SAVE_TXT,68548738615799808,Último salvamento:<br>{0:timespan(less|minute)} atrás<br><br>{Tag}
EVENT_REWARD_FMT,68757372988809216,{Count}
UI_OPTS_OPTIONS,67081590919852032,Opções
UI_OPTS_MULTIPLAYER,67081471604486144,Multijogador
UI_OPTS_KEYBIND_BINDING,70421327982292992,Vinculação: {BindingName}
UI_OPTS_KEYBIND_ERROR_MSG,70421794263068672,Isso desvinculará outra ação: <br>{OtherActionName}<br>Tem certeza de que deseja continuar?
UI_OPTS_BUILD_INFO,71065577514266624,Plataforma: {PlatformName} | Versão: {BuildId} | Hash do protocolo: {ProtocolHash}
UI_GATHERNODE_REQUIREMENT,71029905968586752,<color=red>Requer {Requirement}</color>
UI_HEALTHPICKUP_INTERACT,71039570580332544,Recupera {percentage:percent()}% de Vida
DIAMOND,66974994580406272,Diamante
MESSAGE_BOX_LEAVE_CONFIRM,69161157897678848,Sair do Jogo
MESSAGE_BOX_LEAVE_HOST_TITLE,69160751356375040,Sair da sua própria partida?
MESSAGE_BOX_LEAVE_HOST_TXT,69160978603765760,"Quer mesmo sair da partida?<br>Como você criou a partida, todos os jogadores serão removidos ao sair."
MESSAGE_BOX_LEAVE_TITLE,69160074362155008,Sair do jogo?
MESSAGE_BOX_LEAVE_TXT,69160855006015488,Quer mesmo sair do jogo?
MESSAGE_BOX_RETURN_CONFIRM,69163340810612736,Abandonar Expedição
MESSAGE_BOX_RETURN_HOST_TXT,69163346871382016,"Tem certeza de que deseja abandonar sua Expedição?<br>Como você criou a partida, todos os outros jogadores retornarão com você."
MESSAGE_BOX_RETURN_TITLE,69163337862017024,Abandonar Expedição?
MESSAGE_BOX_RETURN_TXT,69163343302029312,Quer mesmo abandonar sua expedição?
MODE_SELECT_CREATE_FRIENDS_DESC,71007351351472128,Amigos podem encontrar e entrar no seu jogo.
MODE_SELECT_CREATE_FRIENDS_TITLE,71007349887660032,Amigos
MODE_SELECT_CREATE_PUBLIC_DESC,71007348780363776,Qualquer pessoa pode participar. Perfeito para transmissões!
MODE_SELECT_CREATE_PUBLIC_TITLE,71007346976813056,Público
MODE_SELECT_CREATE_SOLO_DESC,71007345391366144,Jogue sozinho ou convide colegas para participar.
MODE_SELECT_CREATE_SOLO_TITLE,71007343826890752,Privado
MODE_SELECT_FRIENDS_GAME,70420085428121600,Amigos
MODE_SELECT_FRIENDS_GAME_DESC,70420318446874624,Amigos podem encontrar e entrar no seu jogo.
MODE_SELECT_GAME_MODE_TITLE,71011334463877120,Modo de Jogo
MODE_SELECT_JOIN_BTN,70420672118976512,Entrar na Partida
MODE_SELECT_PLAY_BT,71007312436719616,Jogar
MODE_SELECT_PLAY_BTN,70420636043767808,Jogar
MODE_SELECT_PUBLIC_GAME,70420047901683712,Público
MODE_SELECT_PUBLIC_GAME_DESC,70420200670818304,Qualquer pessoa pode participar. Perfeito para transmissões!
MODE_SELECT_SOLO_GAME,70420012703084544,Privado
MODE_SELECT_SOLO_GAME_DESC,70420126205145088,Jogue sozinho ou convide colegas para participar.
Open Hatch,70668568375361536,Abrir Escotilha
OPTS_MULTIPLAYER_CURRENT_TEAM,69865368843120640,Equipe Atual
OPTS_MULTIPLAYER_ENABLE_OBSERVERS,69865544915808256,Habilitar Observadores
OPTS_MULTIPLAYER_MANAGE_BLOCKS,69865680991612928,Gerenciar Lista de Bloqueios...
PROTECTIVE_CRSYSTAL,66975109500141568,Cristal Protetor
SHIELD_GENERATOR,66975448525733888,Gerador de Escudo
UI_BLOCKLIST_TITLE,69854086446379008,Lista de Bloqueios
UI_BLOCKLIST_UNBLOCK_BTN,69854165966188544,Desbloquear
UI_COMPASS_E,68109962709032960,L
UI_COMPASS_N,68109857843044352,N
UI_COMPASS_NE,68109928332517376,NE
UI_COMPASS_NW,68110126031036416,NO
UI_COMPASS_S,68110021160853504,S
UI_COMPASS_SE,68109993440698368,SE
UI_COMPASS_SW,68110069386960896,SO
UI_COMPASS_W,68110099468509184,O
