Key,Id,Spanish(es)
HE_Desc_107,346366143356952,"Encadena 60 de daño <#FFEB04><link=""Keyword:12"">[Eléctrico]</link></color> a 2 objetivos."
HE_Desc_109,346366143356956,"+5 % de acumulación <#FFEB04><link=""Keyword:5"">[Cinética]</link></color> "
HE_Desc_110,346366143356958,+10 % de daño de ataque durante 60 s.
HE_Desc_112,346366143356962,"+150 de <#FFEB04><link=""Keyword:11"">[Barrera]</link></color>"
HE_Desc_113,346366143356964,"Encadena 150 de daño de <#FFEB04><link=""Keyword:13"">[Fuego]</link></color> a 4 enemigos."
HE_Desc_114,346366143356966,+15 % de daño cuerpo a cuerpo.
HE_Desc_115,346366143356968,"+10 % de daño cuerpo a cuerpo, máximo 10 acumulaciones."
HE_Desc_116,346366143356970,"Obtén +5 % de acumulación <#FFEB04><link=""Keyword:5"">[Cinética]</link></color> , +5 % de daño <#FFEB04><link=""Keyword:5"">[Cinético]</link></color> durante 60 s (Máx. 5)"
HE_Desc_118,346366143356974,Los esbirros obtienen +15 % de daño y +15 % de salud durante 60 s.
HE_Desc_119,346366143356976,"Propaga los <#FFEB04><link=""Keyword:17"">[Estados]</link></color> del objetivo a los enemigos en un radio de 5 m."
HE_Desc_120,346366143356978,Genera un orbe de hielo que daña a los enemigos cercanos.
ITM_Name_6,346366143356985,Superhéroe
ITM_Name_11,346366143356989,Agarre hacia adelante
ITM_Name_14,346366143356991,Aletas
ITM_Name_30,346366143356993,Piel de cocodrilo
ITM_Name_37,346366143356999,Mordedura de pez infectado
ITM_Name_65,346366143357003,Telaraña
ITM_Name_152,346366143357009,Salchicha picante
ITM_Name_153,346366143357011,Taco
ITM_Name_154,346366143357013,Paso de matanza (Cinético)
ITM_Name_156,346366143357015,Maestría del Fuego I
ITM_Name_158,346366143357017,Café con leche
ITM_Name_163,346366143357019,Salsa picante
ITM_Name_167,346366143357021,Aumento de resistencia al daño.
ITM_Name_169,346366143357023,Aumento de la velocidad del movimiento
ITM_Name_175,346366143357027,Riboflavina
ITM_Name_181,346366143357029,Cerdometa
ITM_Name_190,346366143357037,Recargar cañón de riel
ITM_Name_191,346366143357039,Recarga de cohete
ITM_Name_192,346366143357041,Recargar rifle
ITM_Name_196,346366143357043,Acumulación pequeña
ITM_Name_198,346366143357045,Anguila eléctrica
ITM_Name_200,346366143357047,Ponche caliente
ITM_Name_206,346366143357051,Invulnerabilidad
ITM_Name_209,346366143357053,Recarga de escopeta
ITM_Name_210,346366143357055,Recarga de plasma
ITM_Name_211,346366143357057,Recarga de granada
ITM_Name_212,346366143357059,Recarga de magnum
ITM_Name_214,346366143357061,Recarga de pistola
ITM_Name_228,346366143357069,Devorador de jochos
ITM_Name_229,346366143357071,Cereal de metal dentado
ITM_Name_233,346366143357073,Tiempo de espera
ITM_Name_237,346366143357081,Nanobots estructurales
ITM_Name_242,346366143357091,Nanobots personales
ITM_Name_250,346366143357099,Cono de nieve
ITM_Name_254,346366143357101,Sabrosas golosinas de esbirro
ITM_Name_255,346366143357103,Piernas de hombre topo
ITM_Name_257,346366143357105,Patas de araña
ITM_Name_258,346366143357107,Efecto pasivo de piernas de hombre musculoso
ITM_Name_259,346366143357109,Piernas de ninja
ITM_Name_260,346366143357111,Torso de avispa
ITM_Name_261,346366143357113,Torso de robot cohete
ITM_Name_262,346366143357115,Descubierto
ITM_Name_274,346366143357125,Escupidor de metralla
ITM_Name_275,346366143357127,Munición en caja
ITM_Name_288,346366143357129,Ensalada de gelatina
ITM_Name_302,346366143357155,Bonificación de Adiós a tus carnitas
ITM_Name_309,346366143357161,Piernas de Zord de carne
ITM_Name_326,346366143357167,Agarre paralizante
ITM_Name_327,346366143357169,Turbo impulso
ITM_Name_333,346366143357179,Problemas de rodilla
ITM_Name_343,346366147551236,Visión piroclástica
ITM_Name_346,346366147551240,Ansiadecarne
ITM_Name_350,346366147551244,Migas de pan
ITM_Name_351,346366147551246,Cargador grande
ITM_Name_352,346366147551248,Especias sintéticas
ITM_Name_353,346366147551250,Camarón picante
ITM_Name_354,346366147551252,Cuchillo de sushi
ITM_Name_356,346366147551256,Frenesí alimentario
ITM_Name_357,346366147551258,CÁMARA LENTA
ITM_Name_360,346366147551262,Baquetas
ITM_Name_361,346366147551264,Pechuga de pollo con especias
ITM_Name_362,346366147551266,Claridad
ITM_Name_366,346366147551274,Vitaminas frutales
ITM_Name_367,346366147551276,Tren de salsa
ITM_Name_369,346366147551280,Choque estático
ITM_Name_372,346366147551284,Recarga de glaciares
ITM_Name_373,346366147551286,Maestría glacial
ITM_Name_392,346366147551296,Piernas de carnicero
ITM_Name_400,346366147551306,Venas glaciales
ITM_Name_430,346366147551350,Piernas de Meat Boy
ITM_Name_431,346366147551352,Reflejo de armadura ósea (Fuego)
ITM_Name_432,346366147551354,Reflejo de armadura ósea (Limo)
ITM_Name_433,346366147551356,Reflejo de armadura ósea (Hielo)
ITM_Name_434,346366147551358,Reflejo de armadura ósea (Eléctrico)
ITM_Name_435,346366147551360,Reflejo de armadura ósea (Cinético)
ITM_Name_445,346366147551378,Paso de matanza (Fuego)
ITM_Name_446,346366147551380,Paso de matanza (Hielo)
ITM_Name_447,346366147551382,Paso de matanza (Eléctrico)
ITM_Name_448,346366147551384,Paso de matanza (Limo)
ITM_Name_449,346366147551386,Drenar energía (Cinético)
