Key,Id,Chinese (Simplified)(zh-Hans)
EVENT_DESCRIPTION_TIME_FMT,61552718882267136,{EventText}：{TimeoutText}
EVENT_DESCRIPTION_TIME_ONLY_FMT,61553051326996480,{TimeoutText}
EVENT_HEADER_PRIME,35806126556569600,首要目标
EVENT_HEADER_SECONDARY,35806182923821056,次要目标
EVENT_HUNTER_TIMER_ADVANCED,43479223816413184,猎人提前来袭
EVENT_HUNTER_TIMER_DELAYED,43480205547790336,猎人推迟来袭
EVENT_OBJECTIVE_DAMAGE_ANY_ENEMY_FMT,45684262786031616,已伤害 <nobr>{NumDamaged}/{NumToDamage}</nobr>
EVENT_OBJECTIVE_TASKS_FMT,45737656791851008,<nobr>{NumDone}/{NumTodo}</nobr> {Detail}
EVENT_REWARD_FMT,68757372988809216,{Count}
EXHAUST_PORT,46628107665268736,排气口
GOAL!,46628109821140992,目标！
GOOBER_TURRET,46628113809924096,肉呆子炮塔
HARVESTER_CORE,46389181780320256,收割者核心
HEALTH_STATION,46628116695605248,治疗站
HUD_CHECKPOINT_TOAST,71718200525385728,检查点已保存！
HUNTER_ENRAGE_TIMER,53525888526966784,愤怒倒计时：
HUNTER_THREAT_BANISHED,35125235089924096,已放逐！
HUNTER_THREAT_DANGER,35125167033147392,危险！
HUNTER_THREAT_ENRAGED,35125494096584704,！！猎人们愤怒了！
HUNTER_THREAT_IMMINENT,35125348260634624,威胁迫在眉睫！！
HUNTER_THREAT_PANTS,35125431806976000,！！吓尿预警！！
HUNTERS_TIMER_FMT,68162259069689856,{SecondsRemaining:secondstotime()}
HUNTERS_TIMER_REWARD_FMT,68472376516403200,{Count:cond:<0?<color=#FF3667>{}s</color>|+{}s}
INSECT_EGGS,46628101830991872,虫卵
INTERACT_PROMPT_HEALTH_GAIN_FMT,43375595235565568,+{HealthGain}
INTERACT_PROMPT_PING,43136443831279616,[InputAction:Gameplay/MarkTarget] 标记
INTERACTION_PROMPT_HOLD_SUCCESS,43183389103087616,成功！
INTERACTION_PROMPT_TYPE_HOLD_FMT,43127738511384576,长按 {BindingText} {ActionText}
INTERACTION_PROMPT_TYPE_NONE_FMT,43126879249489920,{ActionText}
INTERACTION_PROMPT_TYPE_PRESS_FMT,43127706953441280,{BindingText} {ActionText}
ITEM_INSPECTION_PROMPT,42642500681195520,查看
ITEM_NOTIFICATION_NEW_ITEM,42646904150941696,新！
ITEM_NOTIFICATION_STACK_COUNT_FMT,42659474148679680,x{StackCount}
ITEM_RARITY_COMMON,42668023662764032,普通
ITEM_RARITY_EPIC,42668027727044608,史诗
ITEM_RARITY_LEGENDARY,42668029052444672,传奇
ITEM_RARITY_RARE,42668026103848960,稀有
ITEM_RARITY_UNCOMMON,42668357307064320,罕见
ITEM_REWARD_NAME_FMT,63053428530601984,{ItemName}{ItemCount:| +{ItemCount}}
JELLY_FORGE,46628102367862784,凝胶锻造炉
JOIN_GAME_PLAYERCOUNT_FMT,48096123611504640,{Current}/{Max}
JOIN_GAME_PLAYERNAME_FMT,48095464992530432,{PlayerName}的游戏
JOIN_GAME_PROTOCOL_MISMATCH,48097039647498240,版本不匹配
JOIN_GAME_SPECTATE,47816347118198784,观战
JUMP_PAD,46406064923467776,弹跳板
LOADOUT_ARTIFACT_NONE_DESC,38383465480052736,一个空虚寂寞冷的装备槽。
LOADOUT_ARTIFACT_NONE_TITLE,38383464444059648,无终极能力
LOADOUT_FLAIR_NONE_DESC,38383568223723520,你肯定想有自己的风格，对吧？
LOADOUT_FLAIR_NONE_TITLE,38383466306330624,嘿，未装备装扮！
LOADOUT_WEAPON_NONE_DESC,38383462514679808,哎呀，糟糕。
LOADOUT_WEAPON_NONE_TITLE,38383410991849472,未装备武器
MAIN_MENU_ABANDON_RUN,31077628587794432,返回大厅
MAIN_MENU_DEBUG_HEADER,31076998813048832,调试
MAIN_MENU_DISCORD_SERVER_BUTTON,31076690544287744,Discord 鲜肉集结
MAIN_MENU_EXIT,31077710762598400,退出游戏
MAIN_MENU_MULTIPLAYER,31077375373467648,多人游戏
MAIN_MENU_OPTIONS,31077450753499136,设置
MAIN_MENU_RESUME,31077530629824512,继续游戏 [InputAction:UI/Cancel]
MAIN_MENU_SKIP_TUTORIAL,31076355092242432,跳过教程
MAIN_MENU_UNSTUCK_BTN_TXT,61894851502731264,我卡住了！
MAIN_MENU_UPLOAD_LOGS,31077125934014464,上传日志
MAIN_MENU_WISHLIST,31077254808199168,加入 Steam 愿望单
MEAT_CORE_SITE,46628112702627840,肉核据点
MEAT_MUSH,46628103278026752,肉糜
MENACING_TENTACLE,46628121766518784,危险触须
MENU_COMMON_BACK,47855835508891648,[InputAction:UI/Cancel] 返回
MESSAGE_BOX_ABANDON_RUN_CANCEL,31141851095359488,取消
MESSAGE_BOX_ABANDON_RUN_CONFIRM,31141825619156992,放弃本局游戏
MESSAGE_BOX_ABANDON_RUN_MESSAGE,31141795957039104,你确定要放弃这局游戏，并返回 ROX-1 吗？
MESSAGE_BOX_ABANDON_RUN_TITLE,31141752260780032,放弃这局游戏
MESSAGE_BOX_BLOCK_PLAYER_CANCEL,31122765070196736,取消
MESSAGE_BOX_BLOCK_PLAYER_CONFIRM,31122718286929920,屏蔽
MESSAGE_BOX_BLOCK_PLAYER_MESSAGE,31122703279710208,被屏蔽的玩家无法加入您创建的游戏，如果他们碰巧出现在您已加入的游戏中，则会被永久禁言。<br><br>您确定要屏蔽 {PlayerName} 吗？
MESSAGE_BOX_BLOCK_PLAYER_TITLE,31122656211230720,屏蔽玩家
MESSAGE_BOX_COMPUTER_OVERHEATING_CANCEL,31121502840545280,让主机燃烧吧
MESSAGE_BOX_COMPUTER_OVERHEATING_CONFIRM,31121455612682240,给主机降降温
MESSAGE_BOX_COMPUTER_OVERHEATING_MESSAGE,31121436348243968,降低分辨率和帧率来帮主机降降温？
MESSAGE_BOX_COMPUTER_OVERHEATING_TITLE,31121364780834816,主机过热
MESSAGE_BOX_DEFAULT_CANCEL,31145042352529408,取消
MESSAGE_BOX_DEFAULT_CONFIRM,31145012967235584,确定
MESSAGE_BOX_EXIT_GAME_CANCEL,31121900481536000,取消
MESSAGE_BOX_EXIT_GAME_CONFIRM,31121881414230016,返回主菜单
MESSAGE_BOX_EXIT_GAME_MESSAGE,31121844806344704,你确定要抛弃你的队友吗？
MESSAGE_BOX_EXIT_GAME_SECONDARY,31121914842832896,退出到桌面
MESSAGE_BOX_EXIT_GAME_TITLE,31121802745864192,退出游戏
MESSAGE_BOX_FEEDBACK_CANCEL,31100557044211712,以后再说
MESSAGE_BOX_FEEDBACK_CANCEL_ON_EXIT,31100501750702080,不了，没兴趣
MESSAGE_BOX_FEEDBACK_CONFIRM,31100327628365824,好啊！
MESSAGE_BOX_FEEDBACK_MESSAGE,31100033314054144,您能否抽出一点时间填写一份简短的调查问卷，帮助我们改进游戏？
MESSAGE_BOX_FEEDBACK_TITLE,31099905689772032,反馈
MESSAGE_BOX_GAME_FULL_MESSAGE,31122339318980608,抱歉，该房间已满。点击“确定”返回主菜单。
MESSAGE_BOX_GAME_FULL_TITLE,31122293072584704,房间已满
MESSAGE_BOX_JOIN_FRIEND_CANCEL,31104948069457920,不了，我这儿就挺好！
MESSAGE_BOX_JOIN_FRIEND_CONFIRM,31104888199962624,加入游戏
MESSAGE_BOX_JOIN_FRIEND_GAME_MESSAGE,31100789127634944,您受邀加入 {FriendName} 的游戏
MESSAGE_BOX_JOIN_GAME_TITLE,31100726099828736,加入新游戏
MESSAGE_BOX_LEAVE_CONFIRM,69161157897678848,离开游戏
MESSAGE_BOX_LEAVE_HOST_TITLE,69160751356375040,解散创建的游戏？
MESSAGE_BOX_LEAVE_HOST_TXT,69160978603765760,您确定要离开游戏吗？<br>您是房主，离开将导致房间解散，所有玩家被踢。
MESSAGE_BOX_LEAVE_TITLE,69160074362155008,离开游戏？
MESSAGE_BOX_LEAVE_TXT,69160855006015488,您确定要离开游戏吗？
MESSAGE_BOX_LOAD_DEMO_CANCEL,56092051975892992,否，且不再询问
MESSAGE_BOX_LOAD_DEMO_CONFIRM,56092048666587136,是
MESSAGE_BOX_LOAD_DEMO_MESSAGE,55860579570479104,检测到《SwapMeat》试玩版存档。您是否要继续试玩版进度？现有的存档数据将被覆盖。
MESSAGE_BOX_LOAD_DEMO_PROGRESS_TITLE,55860577653682176,迁移试玩版进度	
MESSAGE_BOX_LOAD_DEMO_SECONDARY,56092050369474560,否，下次提醒我
MESSAGE_BOX_MISSING_ARTIFACT_MESSAGE,31142435298992128,您确定要在未选择终极技能的情况下继续吗？
MESSAGE_BOX_NETWORK_DISCONNECT_MESSAGE,31120173598498816,房主已断开连接。
MESSAGE_BOX_NETWORK_DISCONNECT_TITLE,31120107987001344,房主已断开
MESSAGE_BOX_NETWORK_TIMEOUT_MESSAGE,31120316263555072,客户端连接超时，尝试连接或发送/接收数据失败
MESSAGE_BOX_NETWORK_TIMEOUT_TITLE,31120286274281472,错误：网络超时
MESSAGE_BOX_NEW_BUILD_MESSAGE,31121145544564736,检测到游戏新版本。点击“确定”重启并开始下载更新
MESSAGE_BOX_NEW_BUILD_TITLE,31121109494521856,新版本可用
MESSAGE_BOX_QUIT_MESSAGE,31098545544093696,您确定要退出吗？
MESSAGE_BOX_QUIT_MESSAGE_HOST,45269853613842432,您确定要离开游戏吗？<br>您是房主，离开将导致房间解散，所有玩家被踢。
MESSAGE_BOX_QUIT_TITLE,31098413507403776,退出游戏
MESSAGE_BOX_QUIT_TITLE_HOST,45269738467614720,解散创建的游戏？
MESSAGE_BOX_REBIND_BANNED_MSG_FMT,52961862714585088,按键 {InputPath} 已绑定至全局动作 {ActionName}。
MESSAGE_BOX_REBIND_BANNED_TITLE,52961860839731200,改键失败
MESSAGE_BOX_REBIND_CONFLICT_MSG_FMT,52952037393887232,按键 {InputPath} 已被绑定至 {ActionName}，该动作现需重新绑定其他按键。
MESSAGE_BOX_REBIND_CONFLICT_TITLE,52952033853894656,改键冲突
MESSAGE_BOX_RESET_ACCOUNT_CANCEL,31142685069795328,取消
MESSAGE_BOX_RESET_ACCOUNT_CONFIRM,31142672679821312,重置账号
MESSAGE_BOX_RESET_ACCOUNT_MESSAGE,31142661908848640,您确定要重置账号吗？<br>这将删除所有进度和解锁内容。
MESSAGE_BOX_RESET_ACCOUNT_TITLE,31142628807401472,重置账号
MESSAGE_BOX_RESET_RUN_MESSAGE,31141144124448768,您确定要重置本局游戏吗？
MESSAGE_BOX_RESET_RUN_TITLE,31141105490714624,重置本局游戏
MESSAGE_BOX_RETURN_CONFIRM,69163340810612736,放弃本局游戏
MESSAGE_BOX_RETURN_HOST_TXT,69163346871382016,您确定要放弃本局游戏吗？<br>您是房主，放弃后所有其他玩家都将随您一同返回。
MESSAGE_BOX_RETURN_TITLE,69163337862017024,放弃本局游戏？
MESSAGE_BOX_RETURN_TXT,69163343302029312,您确定要放弃本局游戏吗？
MESSAGE_BOX_SKIP_TUTORIAL_CANCEL,31142171938643968,取消
MESSAGE_BOX_SKIP_TUTORIAL_CONFIRM,31142158563008512,跳过教程
MESSAGE_BOX_SKIP_TUTORIAL_MESSAGE,31142143690006528,您确定要跳过教程并返回飞船吗？
MESSAGE_BOX_SKIP_TUTORIAL_TITLE,31142106562027520,跳过教程
MESSAGE_BOX_TUTORIAL_REQUIRED_MESSAGE,31119917020340224,您必须先完成新手教程才能加入多人游戏。<br>是否立即开始教程？
MESSAGE_BOX_TUTORIAL_REQUIRED_TITLE,31119792659226624,需完成新手教程
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_MESSAGE,51432919170801664,重玩教程需在单人模式下进行。<br>是否返回主菜单开始单人游戏？
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_TITLE,51432847888605184,教程提示
MESSAGE_BOX_VERSION_MISMATCH_MESSAGE,31120802169479168,由于版本不匹配，无法加入游戏。您和房主可能均需重启游戏以获取更新。
MESSAGE_BOX_VERSION_MISMATCH_TITLE,31120753725267968,版本不匹配
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CANCEL,31143010442928128,还原更改
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CONFIRM,31142998338166784,应用更改
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_MESSAGE,31142986732527616,视频设置已更改。是否保留？<br><br>设置将在 5 秒后自动还原。
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_TITLE,31142952192434176,视频设置已更改
MODE_SELECT_CONTINUE_BTN_FMT,88516393607032832,星系 {SystemNum}-{PlanetName}
MODE_SELECT_CREATE_FRIENDS_DESC,71007351351472128,您的好友可以找到并加入您的游戏
MODE_SELECT_CREATE_FRIENDS_TITLE,71007349887660032,好友
MODE_SELECT_CREATE_PUBLIC_DESC,71007348780363776,任何人都可以加入，非常适合直播！
MODE_SELECT_CREATE_PUBLIC_TITLE,71007346976813056,公开
MODE_SELECT_CREATE_SOLO_DESC,71007345391366144,独自游玩，或邀请他人加入
MODE_SELECT_CREATE_SOLO_TITLE,71007343826890752,私密
MODE_SELECT_FRIENDS_GAME,70420085428121600,好友
MODE_SELECT_FRIENDS_GAME_DESC,70420318446874624,您的好友可以找到并加入您的游戏
MODE_SELECT_FRIENDS_ONLY,47782185145458688,(仅限好友)
MODE_SELECT_GAME_MODE_TITLE,71011334463877120,游戏模式
MODE_SELECT_HOST_FRIENDS_ONLY,278383288320,创建私密游戏
MODE_SELECT_HOST_PRIVATE,327255318528,单人模式
MODE_SELECT_HOST_PUBLIC,214248185856,创建公开游戏
MODE_SELECT_JOIN_BTN,70420672118976512,加入游戏
MODE_SELECT_JOIN_GAME_TITLE,45666886526951424,加入游戏
MODE_SELECT_PLAY_BT,71007312436719616,开始游戏
MODE_SELECT_PLAY_BTN,70420636043767808,开始游戏
MODE_SELECT_PUBLIC_GAME,70420047901683712,公开
MODE_SELECT_PUBLIC_GAME_DESC,70420200670818304,任何人都可以加入，非常适合直播！
MODE_SELECT_SOLO_GAME,70420012703084544,私密
MODE_SELECT_SOLO_GAME_DESC,70420126205145088,独自游玩，或邀请他人加入
MODE_SELECT_TITLE,45666774727778304,模式选择
MEAT_DISPENSER,46628101025685504,肉类分配器
NODE_1,46389232518815744,节点 1
NODE_2,46389312764239872,节点 2
NODE_3,46389348839448576,节点 3
NODE_4,46389350567501824,节点 4
Open Hatch,70668568375361536,打开舱门
OPEN_DOOR,46628110437703680,打开门
OPTS_MULTIPLAYER_CURRENT_TEAM,69865368843120640,当前队伍
OPTS_MULTIPLAYER_ENABLE_OBSERVERS,69865544915808256,开启观战位
OPTS_MULTIPLAYER_MANAGE_BLOCKS,69865680991612928,管理屏蔽列表...
PAYLOAD,46628108462186496,运载目标
PIN_MARKER,46746956646510592,压制！
PROTECTIVE_CRSYSTAL,66975109500141568,防御水晶
RESEARCHER_POD,46628126124400640,员工舱
SECURE_THE_MEAT_CORE!,46628112652296192,确保肉核安全！
SENTRY_TURRET,46628102288171008,哨兵炮塔
SHIELD_GENERATOR,66975448525733888,护盾发生器
SMOKER_1_ACTIVATOR!,46628102149758976,核爆炉 1 激活器
SMOKER_2_ACTIVATOR!,46628102149758977,核爆炉 2 激活器
SMOKER_3_ACTIVATOR!,46628102149758978,核爆炉 3 激活器
SPAWNING_POOL,46628102346891264,孵化池
STEERING_PANEL,46628109204578304,控制面板
SUBTITLE_LINE_FMT,63797240152449024,<color=#{SpeakerNameColor}>{SpeakerName}：</color>{SpeakerText}
SUPPLY_BOX,46628126061486080,物资箱
THE_MEAT_MARKET,46628120319483904,肉市
TIBBLER'S_HEART,46628108311191552,卡吕普索的心
TIBBLER'S_KIDNEY,46628118494961664,卡吕普索的肾
TommyTank,84665130641293312,暴击机器人
TOXIC_SLIME,46628104666341376,有毒黏液
TRADER_TERMINAL_ACTION_EXCHANGE,58597048063090688,购买
TRADER_TERMINAL_ACTION_SELL,58596954802741248,出售
TRADER_TERMINAL_ACTION_UNAVAILABLE_NO_CURRENCY,58597098013057024,货币不足
TRADER_TERMINAL_EMPTY_ENTRY,58591398792781824,物品栏中没有资源
Tutorial_LEGABILITY,47863131572002816,[InputAction:Gameplay/LegsAbility] 腿部技能
TUTORIAL_SWAPMEAT,47859765294915584,[InputAction:Interact/Interact] 换肉
UI_ANNOUNCEMENT_DIFFICULTY_FMT,74296319433236480,{difficulty}{ascension:cond:>0? Ascension {}|}
UI_ANNOUNCEMENT_ENTER_PLANET_FMT,74296317638074368,正在进入 {planet}
UI_ANNOUNCEMENT_HOST_PAUSED,74296313619931136,房主已暂停游戏
UI_ANNOUNCEMENT_LEVEL_UP,74296314148413440,玩家正在选择升级奖励
UI_ANNOUNCEMENT_LEVEL_UP_RESUME,74296320918020096,{seconds} 秒后继续
UI_BLOCKLIST_TITLE,69854086446379008,屏蔽列表
UI_BLOCKLIST_UNBLOCK_BTN,69854165966188544,解除屏蔽
UI_BOLTBURGER_CONFIGURE,71287883359576064,员工配置
UI_BOLTBURGER_IGNORE_CARL,89059781141061632,忽略卡尔
UI_BOLTBURGER_INTERACT,71029788435800064,<color=yellow>逃离！</color>
UI_BOLTBURGER_NAME,71029706948861952,电光飞堡
UI_BOLTBURGER_TALK_TO_CARL_DESC,84438058676510720,在你去银河系流浪之前，卡尔有话要跟你说。
UI_BOLTBURGER_TALK_TO_CARL_TITLE,84438056474501120,找经理谈谈
UI_BUYNOWONSTEAM,78930206331494400,立即前往 Steam 购买
UI_CARLTERMINAL_CLAIM_BTN_CLAIM,63752028576215040,领取
UI_CARLTERMINAL_CLAIM_BTN_CRAFT,63752026911076352,购买
UI_CARLTERMINAL_CLAIM_BTN_CURRENCY_LOCKED,63752030165856256,货币不足
UI_CARLTERMINAL_CLAIM_BTN_DEMO_LOCKED,63752024679706624,试玩版已锁定
UI_CARLTERMINAL_CLAIM_BTN_REQUIREMENTS_LOCKED,74607019393277952,未满足要求
UI_CARLTERMINAL_COMPLETED,73167992798568448,已完成
UI_CARLTERMINAL_QUESTS,73167908547584000,任务
UI_CARLTERMINAL_UPGRADES,73167953896398848,升级
UI_CHANGE_DIFFICULTY_CLIENT,76472751513133056,怂恿房主将游戏难度改为 {difficulty}
UI_CHANGE_DIFFICULTY_TO_FMT,76472743611064320,将游戏难度更改为 {difficulty}
UI_COMPASS_E,68109962709032960,东
UI_COMPASS_N,68109857843044352,北
UI_COMPASS_NE,68109928332517376,东北
UI_COMPASS_NW,68110126031036416,西北
UI_COMPASS_S,68110021160853504,南
UI_COMPASS_SE,68109993440698368,东南
UI_COMPASS_SW,68110069386960896,西南
UI_COMPASS_W,68110099468509184,西
UI_CRITS_TEXT,80878169194749952,暴击
UI_DAMAGE_TEXT,71027131851726848,伤害
UI_DIFFICULTY_SELECT_TITLE,81165014893846528,选择难度
UI_DPS_TEXT,80878240179150848,秒伤
UI_ENDSTAGE_CONSUMPTION,80927668453761024,星球消耗量
UI_ENDSTAGE_DATA,71871687346348032,数据
UI_ENDSTAGE_GATHERING_DISCLAIMER,80901562480713728,*采集需具备相应许可证
UI_ENDSTAGE_LOADOUT,71871691788115968,配装
UI_ENDSTAGE_MATERIAL_FISHING,80927658316128256,捕鱼裂隙
UI_ENDSTAGE_MATERIAL_MINING,80927660262285312,采矿节点
UI_ENDSTAGE_MATERIAL_TECH,80927662330077184,古代科技
UI_ENDSTAGE_NO_MATS_FOUND,80901560471642112,未检测到材料！
UI_ENDSTAGE_PRIME_DIRECTIVES,80927664423034880,首要目标
UI_ENDSTAGE_REWARDS,71871690248806400,奖励
UI_ENDSTAGE_SECONDARY_EVENTS,80927666520186880,支线事件
UI_ENDSTAGE_STATS,71871688839520256,统计
UI_GALAXYMAP_ASCENSION_OFF,78047682533253120,进阶：关闭
UI_GALAXYMAP_ASCENSION_ON,78047680209608704,进阶：开启
UI_GALAXYMAP_BOSS,77085141590073344,Boss
UI_GALAXYMAP_DEMO_LOCKED,65856258359357440,试玩版已锁定
UI_GALAXYMAP_DIFFICULTY,77085143997603840,难度模式
UI_GALAXYMAP_MODE_RANDOM,76942191665078272,随机
UI_GALAXYMAP_MODE_SCRIPTED,76942188812951552,星系 {index}
UI_GALAXYMAP_MODE_TUTORIAL,76942183263887360,教程
UI_GALAXYMAP_MODIFIERS,77085146208002048,修改器
UI_GALAXYMAP_PLANETS,77085138289156096,星球
UI_GALAXYMAP_RANDOM_DESC,77848170049036288,所有星球、敌人和 Boss 战均随机生成。
UI_GALAXYMAP_TUTORIAL_DESC,77848167003971584,在最简单的难度下学习游戏机制和基础知识。
UI_GALAXYMAP_UNKNOWN_BOSS,76942179224772608,？？？
UI_GALAXYMAP_UNKNOWN_PLANET,76942179686146048,？？？
UI_GALAXYSCREEN_ASCENSION_FMT,77181756770344960,进阶：{rank}
UI_GALAXYSCREEN_DIFFICULTY_FMT,77181621885722624,难度：{difficulty}
UI_GALAXYSCREEN_MODIFIERS_FMT,77181851947491328,修改器：{count}/{max}
UI_GALAXYSELECT_DESTINATION_CURRENT,83744947004497920,正前往此处
UI_GALAXYSELECT_DESTINATION_SET,83744951232356352,设为目的地
UI_GALAXYSELECT_DIFFICULTY_NONE,83722034389966848,未完成
UI_GALAXYSELECT_HARDEST_LABEL,83711659535753216,最高通关难度：
UI_GATHERNODE_REQUIREMENT,71029905968586752,<color=red>需达成 {Requirement}</color>
UI_HEALTHPICKUP_INTERACT,71039570580332544,恢复 {percentage:percent()}% 生命值
UI_HEALTHPICKUP_NAME,71039568562872320,治疗站
UI_HITEFFECT_DESC_FMT,50658861504258048,{trigger}：{effect}
UI_INFOTERMINAL_INTERACT,71029517936746496,打开
UI_INFOTERMINAL_NAME,71029479261069312,图鉴
UI_INTERACT_PIN,71029310960427008,标记
UI_INTERACTION_LOCKED,81878672011681792,已锁定
UI_INTERACTION_MEAT,71029281604493312,拾取
UI_ITEM_DESC_FMT,50641214507048960,{attributes:list:|<br>}
UI_ITEMCONTAINER_INTERACT,86195284344823808,领取物品奖励
UI_ITEMCONTAINER_NAME,86195272869208064,物品箱
UI_KILLS_TEXT,80877989049393152,击杀数
UI_LOADOUT_EQUIPPED_NONE,70975984860389376,无
UI_LOADOUT_SLOT_FLAIR,71008883575873536,装扮
UI_LOADOUT_SLOT_MELEE,71006502045868032,近战
UI_LOADOUT_SLOT_PRIMARY,71006497910284288,主武器
UI_LOADOUT_SLOT_SECONDARY,71006500313620480,副武器
UI_LOADOUT_SLOT_ULTIMATE,71006503694229504,神秘肉
UI_LOBBY_TV_NAME,71282475156889600,电视
UI_LOBBY_TV_OFF,71282478541692928,<color=yellow>把这破烂东西关了</color>
UI_LOBBY_TV_ON,71282477010771968,<color=yellow>观看员工入职指南</color>
UI_MARKER_FREEMEAT,78544246305447936,免费鲜肉！
UI_MATERIALS_TITLE,80900142813667328,材料
UI_MEAT_PART_HEAD,71029987690405888,头
UI_MEAT_PART_LEGS,71030042077945856,腿
UI_MEAT_PART_TORSO,71030010549362688,躯干
UI_MEATCORE_INTERACT,71029870979702784,开始收割
UI_MEATCORE_NAME,71029824678780928,肉核
UI_MEATLOCKER_BACK,74561067920846848,[InputAction:UI/Cancel] 返回
UI_MEATLOCKER_EQUIP_BTN,74561255393652736,[InputAction:UI/Submit] 装备
UI_MEATLOCKER_INTERACT_NAME,74562836717563904,储肉间
UI_MEATLOCKER_INTERACT_PROMPT,74562840249167872,调整外观
UI_MEATLOCKER_ROTATE,74561363761885184,旋转
UI_MEATLOCKER_SUBTITLE,74560978846412800,// 调整外观
UI_MEATLOCKER_TITLE,74560976120115200,储肉间
UI_MEATNAME_MISSING,71030073136766976,肉块丢失
UI_MODESELECT_DEMOPROGRESS,73195958265962496,试玩版进度可迁移至完整版游戏
UI_MULTIPLAYER_BLOCKLIST_HELP_MESSAGE,70426187016368128,查看并管理您的屏蔽列表。<br><br>被屏蔽的用户无法加入您创建的游戏。若您与被屏蔽用户同时进入第三方房间，该用户将自动对您静音。
UI_MULTIPLAYER_BLOCKLIST_HELP_TITLE,70426179655364608,管理屏蔽列表
UI_MULTIPLAYER_OBSERVER_HELP_MESSAGE,70426781500239872,设置是否允许第四名玩家以纯观战模式连接您创建的游戏。观战玩家无法语音聊天，但可以跟随房主或任意玩家视角观战。
UI_MULTIPLAYER_OBSERVER_HELP_TITLE,70426780619436032,开启观战位
UI_OBSERVER_INACTIVE,89551914265407488,按 <color=yellow>[InputAction:Observer/FollowNextPlayer]</color> 围观那些见死不救的队友
UI_OBSERVER_NEXT_PLAYER_BINDING,89551067078914048,观战下一位玩家 ([InputAction:Observer/FollowNextPlayer])
