Key,Id,Japanese(ja)
307da1864b474e55ad4c1444a56658db_47_0,12863354224762895,フランケンビーンズを倒す
363558d8493e48e289610cc80a45dce7_92_0,13533376634937350,ゴール！
36cd18992f274b02a91cd6c0e992f1f4_101_0,31321804916948992,排水地点
3a678daece2d40309b8eb9970ebf79ba_36_0,12863354220568586,感染源を探す
3a678daece2d40309b8eb9970ebf79ba_53_0,12863354224762896,ランガス施設を見つける
3b601266bb5d4a38b0834fd14d1ef92c_1_0,12863354212179968,ハイブの触手を破壊する
3c99156a71e94689befdad6541f0bf07_90_0,12863354224762927,敵を倒した
3fdff34d02474be4a2ecff716417f87d_81_0,12863354224762919,敵にとどめを刺す
4115cee4e56045ee915c6d12fc8f28bf_57_0,25819545806340097,スライムの群れを見つける
43299c14b63f49d78c190b2a798a27a6_98_0,16371853938163714,近くの洞窟に入る
455efe9b97694027bc0a679531a30729_79_0,28265088556195840,回復ステーションを見つける
45913b0062ba4bedad3d390ead657593_117_0,50485223704264705,リブートリセット
45c41fc4a38742fdb704cb4e69bcd9da_79_0,28263989174591488,ステーションでHPを回復する
47d22a0a9d04426a939f3ea0864b5205_88_0,34098342817202176,守護クリスタルを破壊した
4803acde682845028daa9cb9d258ff91_40_0,12863354224762881,残り時間
4a9bef823c604de19b73c9aeafca1d8d_117_0,50485223704264704,リセットを探す
4a9bef823c604de19b73c9aeafca1d8d_60_0,12863354224762897,カリプソの腎臓を見つける
4c5f937ce7714ef9b521d16bc072a73a_89_0,45789048323694592,ミートを無料で手に入れよう！
4ddcdfd50d0e47f08fd6bc7f5f1bb469_89_0,15325185385988097,ビームがブロックされた
58f4d3f77dd547dc8169638a7b3e062e_8_0,25819545705676800,墜落したハーベスターを見つける
5ed58fbeb96d4cb382f8bc57afa849a5_40_0,4741774361747456,今すぐ避難せよ！
631906e57b8d4160990d2e447587b61b_47_0,12863354224762894,巣穴に入る
637d1804119d485f88ca47f98128d541_43_0,12863354224762892,ブロードサイドを倒す
63a0f53118c1402c99a31618368c68ea_91_0,13533376634937349,昆虫の卵
641e13cf11144468b19d70851075d9a7_25_0,12863354220568583,リセットを生かし続ける
64f797dc3da74b8ea65cf4e2d44341ba_117_0,50485223704264706,リセットが発進中！
6f2d88d0310742859bdb6238d3e4ad86_91_0,12863354224762928,巣を破壊した（[InputAction:Gameplay/RangedFire] で撃つ）
7091b8121ac345a7b5dd032f1fb10d38_65_0,12863354224762900,シールドジェネレーターを破壊する
732760e06a494706bc85e319628b5c0f_8_0,13043324679086080,卵を破壊した
736627e655094cfa8f25340937a2d4ff_64_0,25819545806340099,カリプソの心臓を見つける
780b3c462166410cb105383610f867a4_26_0,40699209502720000,.
79546cc3d5574f48bfeae8542285b2be_101_0,35236879184723968,バルブ
7c767509160b47d09ee5fd3037cd6303_60_0,38122210821771264,カリプソの腎臓を破壊した
7dd5734af14447428441a4afa3b05ccf_54_0,15335522801844224,長押し
807edf1d4f3e4599a048379d0197a838_42_0,12863354224762885,生贄のサークルを探す
81d20e1613b6479ca33a6cdfc9ce5e0f_41_0,12863354224762883,グロッボを破壊した
82239c3b0973496980d13c3eb35465f5_73_0,4741774365941760,ミートコアを守れ！
823baa51f7ac45f685ba900c7c6ddfb2_40_0,13533376630743040,ノード A
83339c61496448f3ab8a9f00787f30bd_73_0,28635447101943808,ミートコアを抽出中
862addccc4bf4bb9b4c7a0c4d6b48150_93_0,12863354224762930,タレットを倒す
86379083fd29463498e7361acdd157e4_101_0,20866619597946882,バルブを破壊する
882c3ea243c1443e95759576b73b2729_110_0,40046892562546689,パイプが詰まった
88eea4ea07334f4b9957fa019c9c9e72_88_0,13043324691668994,ポッドを倒した
8c9ba7dccc20445c89cd89d1ba506cc4_88_0,53087326635548672,守護クリスタル
8d27d8bb3bee42c2942be3baf1859045_101_0,20866619602141184,エイリアンブレインを破壊した
8e4d080278df4923a617256e18dee6d5_42_0,12863354224762889,モンスターを倒した
932df004b21244c99860871f9bfdbcfe_40_0,13533376630743041,ノード B
934993f61e7d4fa898242cffd9d8abd4_38_0,12863354220568589,イベントビーコンを見つける
95793848bf4b4be5a284252b6e26a2cc_105_0,32983460336140288,クローンジャーを破壊した
9626d545c2694bd292bf79ea22f15d33_90_0,13533376634937348,ミートコアを守れ！
96f4e288b2da481fb27f4a251b3c5e0c_90_0,12863354224762926,墜落現場に向かう
970b77bc8ed04b3fb6ac4a9df5a207a6_4_0,12863354220568576,大型グロッボを破壊した
98a522e09cb5420fb918357103a41013_81_0,12863354224762920,敵にとどめを刺せ！
98a8f6a25bfa4799901701cb818c0d9a_77_0,50485223666515968,ゾープジェットを破壊した
9e417b53bbd949a386d2591e402d5f07_101_0,20866619597946881,ポンプをクリア
a169f4140ad1400281c0f9cbb7a7c6cf_96_0,12863354224762932,[InputAction:Gameplay/Jump] で崖を登る
a169f4140ad1400281c0f9cbb7a7c6cf_97_0,31181757266366473,[InputAction:Gameplay/Jump] で崖の側面にジャンプ！
a1908cc5be6d465790e029e3f2e73d0d_98_0,16371853938163713,洞窟の入口
a1bfc46fe1a54a509690de1b510631e3_88_0,53087326635548673,クリスタルを撃ってそろえる
a2a7d50a3af045e88d53a6481091ff5a_77_0,12863354224762915,閉じ込められたランガスのシェフを見つける
a6f8d590137c4bf3b33589b5e032a69c_73_0,12863354224762904,敵が接近中
a95b5d889fb84d7ba700d8975dc1d8a1_43_0,26214435956711424,危険な卵
bae246cb718c4be1ae01bf6826b33960_64_0,28599495512850432,カリプソの心臓を破壊した
bb07c029345a4e33bd8243e510d76cc2_69_0,13043324687474692,ガンナロイドを倒した
bd02e00fea674e84a16b0fc4d3a7c330_40_0,4741774349164544,ハーベスターを守れ！
bd02e00fea674e84a16b0fc4d3a7c330_90_0,35944490152747008,ハーベスターを守る
becd4830a7ae4b778a2b0a39b3869500_43_0,12863354224762891,魚の卵を破壊した
bfd544a6595040d29ce21af210a4de5a_60_0,12863354224762898,パイプがモノリスの頭で詰まった
c17b8f905f334482a07ce6bfe92d5b23_81_0,12863354224762918,コーチ・ダンに話しかけてマッチを開始する
c284dddb27ca486cb0c83ae110eefa8d_41_0,13533376630743044,ティックラー
c483f6bd06c94bc489c36921c6af7f3f_25_0,12863354220568584,リセットのアタッカーを排除する
c62a3b9c572d46ca823e1d8a0a001798_11_0,12863354220568581,ミートマーケットを訪れる
c684dd36776f40a7becea5c3a624dec7_111_0,43214497377521665,ガンナロイドを倒した
c684dd36776f40a7becea5c3a624dec7_65_0,12863354224762901,ガンナロイドを倒した
c88aa5a86fb0487ea2940b49d5a26a61_40_0,12863354224762882,ボルトバーガーを待つ
d041259c46074c00896e43684af48ba9_89_0,45789048327888896,フリーミート！
d0e8fcbdc77f4b76892c67d9ba0008a2_65_0,45428356357808128,バルブを吹き飛ばした
d226c4e37ecc4efd9459d4eb10157033_73_0,12863354224762905,ヌーカーを起動する
d9554edb22ba42ddb94570a0b261f3e3_40_0,12863354220568590,ミートコアを確保する
db2e0f5131304464a110d29750997d13_77_0,43614748405653504,シェフを救出した
db613423ab43495b808ae871d172820f_40_0,12863354224762880,ノードを守る
ddbd21266895450a9263d7ddd491cf50_83_0,12863354224762924,タンガスレーサーを倒した
de34733aa21446248815db4a898e8278_104_0,31957267828957185,シェフを救出した
e1a978fc518c4eb495acc2987c36bb16_60_0,39648836050518016,テスト
e42ff4f67bcc4ec980f66f7325459554_73_0,12863354224762903,メガヌーカーを見つける
e7d14953a4ce4343b8ec0afd82159bfc_101_0,20864094534664192,タービンを清掃する
e9386d0a8dbb4482bdefb58886c504b2_25_0,12863354220568582,ミートジニアのリセットを見つける
eaef22943f4141959ba6d109230e29d0_92_0,12863354224762929,[InputAction:Gameplay/Jump] とスパイダーレッグで狭間を越える
ed78870de0ee4edc9c00f8d0e25bd930_100_0,46164313786580992,ダックを倒した
eebf973a04794126a5f32ebeba654e8e_36_0,42829564469415936,倒した
eebf973a04794126a5f32ebeba654e8e_53_0,45655994116595712,バグザッパーを倒した
eebf973a04794126a5f32ebeba654e8e_84_0,13392082803392512,ダートバッグにとどめを刺した
efacc41cf94b40c4b9e9b32da808541b_44_0,12863354224762893,ミートをブレンドする
f08e077d07fe4de585998d9e58be16a8_97_0,12863354228957184,[InputAction:Gameplay/LegsAbility] で瓦礫の下を滑り抜ける！
f0962f6aedf542eb8754104f02dbc776_87_0,13043324691668993,クリスタルをそろえてポータルを閉じる
f287fe2f2c004c2bb1ad94e620e19a7d_35_0,13043324687474689,調査する
f3a6135ac12f437db96c381b815fc86e_37_0,12863354220568588,タワーを破壊した
fab40eedf6b84ce6a088171f41a3db3e_40_0,13533376630743043,ノード D
fb7ab8116fc8407f95fc700ec7e73fea_41_0,12863354224762884,ティックラーを倒した
fcf9f2b3388a439ebd895d5441e1652f_101_0,20866619597946883,コラプションを排除する
ff4f7bf8a6c14791a0d538b070a535d6_73_0,12863354224762907,ミートコアを守る
ff4f7bf8a6c14791a0d538b070a535d6_90_0,31181757266366468,ハーベスターノードを守る
STG_1_e58baca8b4594c5c8b9ee8eb81f7ecb2,30928171548270592,アイタタタ！ハンターにやられたな！？<br>向こうに貼ってある俺の警告ポスターを見てくれてると思ってたんだが
STG_10_253905826c564fb2a5270da3f6110546,33128087058112513,さあ、相棒！やってやろう！<br>やっちまおう！
STG_11_253905826c564fb2a5270da3f6110546,33136475515117568,誕生日おめでとう 相棒！
STG_12_29a85a0d1ea943ea96ec6907247dc477,45655991558070272,正式にお祝いしておこう　ハッピーバースデー！
STG_12_2d920e29bd4e4060912784dfdac2cbca,34174556175327238,また誕生日か？最高だな！
STG_12_2e38b79c84684f2aa45587b4fe0c0bd5,34174556175327237,おお 誕生日おめでとう チビっこども！
STG_12_3a27ffa6fa314a5c8625d27093931a96,34174556175327234,誕生日おめでとう、スクイッシー！
STG_12_3eb827e2e6064632b425c10921cbf907,34174556175327236,何の音だ？誕生日のお知らせだ！
STG_12_4702726866014a76a515f75fffdd6c18,34174556175327232,いたいた　俺の大好きなおチビちゃん
STG_12_887c915b3fc54337b9f436b5bc95e7a6,34174556175327239,おっと また誕生日かって？そのとおり！
STG_12_b5bdbdcabfc047a0b78d868a88bb74be,34174556175327235,またまた誕生日おめでとう！
STG_12_b737dec367b64b198466cda5b7c3d659,34174556175327233,おお なんてスクイッシーな誕生日！ 
STG_12_b9065185d40f4e6ab964735d41f28db9,34174556175327240,そしてまたお誕生日おめでとう おチビちゃん！
STG_12_c76a5df566ac4228826d26e700509ad3,34174556175327241,バースデー バースデー ハッピーハッピーバースデー！
STG_12_f1feac12173c43cbbb43b1e0a664f946,34174556175327242,どうだ？誕生日おめでとう！
STG_13_253905826c564fb2a5270da3f6110546,33139387419058176,おお スクイッシー！<br>生きて戻ってきたなんて信じられない！
STG_14_e58baca8b4594c5c8b9ee8eb81f7ecb2,33297722948706304,悪いと思ってるんだよ　お前が仲間やビーンズと一緒に<br>あそこで死ぬと思ってたからな...
STG_15_e58baca8b4594c5c8b9ee8eb81f7ecb2,33297722961289216,でもな ここで終わりじゃない　ついにタンガスタウンを見つけたんだぜ ベイベー！
STG_16_e58baca8b4594c5c8b9ee8eb81f7ecb2,33297722961289217,このフランケン燃料があれば グツグツ煮立ててあの星系まで吹っ飛べるんだ<br>あぁ 最高の料理だ！
STG_17_e58baca8b4594c5c8b9ee8eb81f7ecb2,33300395982839808,おやおや まだそんな ちっこい豆鉄砲持ってるのか？<br>もっといいものがあるんだ　こっちに来て話そう
STG_18_e58baca8b4594c5c8b9ee8eb81f7ecb2,33301769751617536,あぁ あんま認めたくないが... スマートミートの体だけじゃ足りないんだ
STG_19_e58baca8b4594c5c8b9ee8eb81f7ecb2,33301769755811840,時には誰かの助けが必要だぞ　会いに来な
STG_2_e58baca8b4594c5c8b9ee8eb81f7ecb2,31228502341574656,ともかく 星のろくでなし連中相手に役立つものがある<br>あの薄汚え奴らだ　わかるな？会いに来てくれ
STG_20_e58baca8b4594c5c8b9ee8eb81f7ecb2,33308298840104960,おい おい スクイッシー　こっちでちょっと変なもん作ってるんだ<br>会いに来たらどうだ？
STG_21_3b2f530890de4c1cb5f931eaf857b3c5,36007377365884930,やあ スクイッシー！
STG_21_3c049bef12bf41418d16ee6b37dc86f6,36007377365884928,やあ スクイッシー！いい物があるぞぉ！
STG_21_6f18a989231f4fafad627eb8654dae19,36007377365884933,スクイッシーボーイ！
STG_21_8e4b1695c1e547178866cd55a320e8cd,36007377365884931,よう スクイッシー！いい物があるぞ
STG_21_abd986d8f7154c44bd5d7cd3627ec641,36007377365884934,やあ 相棒！渡したいものがある　来てくれ
STG_21_c46b1dc527f447dc88e9cc8683e8f626,36007377365884929,おお ここでいいモンを作ってるところだ　会いに来いよ スクイッシーィ！
STG_21_d3774b96d6264c68a5b66ebff7ede9f4,36007377365884932,こっちに来い スクイッシー　新しいもんができたぞ
STG_22_e58baca8b4594c5c8b9ee8eb81f7ecb2,33311167362359296,武器は個人の好みだ　好きにすればいい<br>間違った選択なんてない
STG_23_e58baca8b4594c5c8b9ee8eb81f7ecb2,33312404489101312,スクイッシー お前のフレアについて話がある　ちゃんと自分らしくなりたいだろ！？
STG_24_e58baca8b4594c5c8b9ee8eb81f7ecb2,33312404489101313,新しいフレアターミナルに行ってみろ<br>ダイヤのように輝くお前を見たいんだ
STG_25_e58baca8b4594c5c8b9ee8eb81f7ecb2,33315184792559616,あぁ 認めたくないが... ミートの体だけじゃ足りないんだ
STG_26_e58baca8b4594c5c8b9ee8eb81f7ecb2,33315184792559617,この新しいターミナルをチェックしてみな　究極の力をアンロックするんだ へへへ！
STG_27_253905826c564fb2a5270da3f6110546,33318258437251072,なあ なんでそんなガチャガチャ音がするほどポケットに詰め込んでるんだ？
STG_28_253905826c564fb2a5270da3f6110546,33318258441445376,トレーダー・マイクのところへ行って、有効活用してこい。いいな？
STG_29_253905826c564fb2a5270da3f6110546,33318258441445377,奴は人間計算機みたいなもんだ　ただし 人間じゃないけどな　まあ 機械みたいな...？何言いたいかはわかるだろ...
STG_3_253905826c564fb2a5270da3f6110546,33060789416878080,いいかスクイッシー　ミートサイエンスがとんでもなく重要だって言ったろ？へへへ<br>自慢じゃないからな！
STG_30_e58baca8b4594c5c8b9ee8eb81f7ecb2,33323369637076992,よっしゃ これで話が進むな　ハンターディテクターがあれば<br>今 お前のバイザーの上に脅威メーターが見えるはずだ
STG_31_e58baca8b4594c5c8b9ee8eb81f7ecb2,33323369641271296,針が左ならハンターたちは お前のことにまったく気付いてない
STG_32_e58baca8b4594c5c8b9ee8eb81f7ecb2,33323369641271297,のんびりしてても平気だ<br>でも右にピョコピョコ動き始めたら...
STG_33_e58baca8b4594c5c8b9ee8eb81f7ecb2,33323369641271298,...気をつけろ　ハンターが お前の特殊な匂いを嗅ぎつけたってことだ<br>メーターの動きは見逃さないことだ　グズグズするなよ<br>じゃあな 頑張れよ スクイッシー
STG_34_e58baca8b4594c5c8b9ee8eb81f7ecb2,33332958667464704,ついに捕まえたぞ！はははは！
STG_36_e58baca8b4594c5c8b9ee8eb81f7ecb2,33334462321254401,便利で しかもウマい... ああ！間違いなくカールの仕業だ！
STG_37_e58baca8b4594c5c8b9ee8eb81f7ecb2,33334462321254402,カール・ランガス... しゃしゃり出てくるんじゃなかったな
STG_38_e58baca8b4594c5c8b9ee8eb81f7ecb2,33334462321254403,ハンターだ！ハントしてやれ！
STG_39_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874173636608,おぉ これで壊れた物を直すための第一歩を踏み出せる
STG_4_253905826c564fb2a5270da3f6110546,33061804547497984,銀河には人が多すぎた<br>食料が足りなかったんだ
STG_40_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025216,あのデカい奴の燃料だけで銀河の半分まで行ける！
STG_41_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025217,ランガス！
STG_42_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025218,ああ まあ それも悪くないな
STG_43_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025219,やばいぞ スクイッシー 逃げないとまずい！
STG_44_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025220,あぁ 黙れ！
STG_45_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025221,おい ロクシー　行かないのか！？
STG_46_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025222,鼻を突っ込み続けないと気が済まないのか カール？
STG_47_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025223,燃料補充中　しばらくお待ちください
STG_48_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025224,銀河中が知っている　お前は信用できないってな カール！お前自身もわかってるだろ
STG_49_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025225,燃料補充完了　加速準備
STG_5_253905826c564fb2a5270da3f6110546,33061804547497985,俺が直接手を突っ込んでパラダイムをかき混ぜるまでは 誰も理解してなかったのさ！
STG_50_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025226,ワープエンジン作動
STG_51_e58baca8b4594c5c8b9ee8eb81f7ecb2,33360178878341120,カール・ランガスよ　もはや正義からは逃れられん　お前とスマートミートを何としてでも止めてやる
STG_52_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025227,近隣の惑星の住民も この生物に食われる恐怖からやっと解放される
STG_54_e58baca8b4594c5c8b9ee8eb81f7ecb2,33356874182025228,ロクシー 新しいミートはどうだ！？
STG_55_3216418ba9ee4b068876b913bb3ccef2,35503730513141760,俺のためにお前がしっかり調理したミートコア　覚えてるだろ？<br>それであの惑星に潜んでる小さな生物をおびき寄せるんだ
STG_56_9850ab8dd16e4c88acd86a61b4b87604,35512353628872704,ここまではよくやった　でも まだ準備万端じゃない
STG_57_3216418ba9ee4b068876b913bb3ccef2,35521168852115456,燃料だけがミートコアの使い道じゃないんだ
STG_57_6eb5f1d5deb847879968ff2fe668935b,35521168860504064,あの最後のやつを取り上げて しっかり調理してやろう！
STG_58_275bd943a66748588ee27da032c5f150,35543002125426689,あのデカい奴も その味を気に入るはずだ　間違いない
STG_58_3216418ba9ee4b068876b913bb3ccef2,35543002125426688,おお ここまで匂ってくるぞ　よくやったな スクイッシー
STG_59_9850ab8dd16e4c88acd86a61b4b87604,35549441904599040,よし ここから形勢を五分に戻すぞ
STG_6_253905826c564fb2a5270da3f6110546,33061804547497986,みんなランガス・ミートが大好きだった<br>そして俺たちは皆 幸せに暮らすつもりだった...
STG_60_9850ab8dd16e4c88acd86a61b4b87604,35549441912987648,向こう側でグリジーがパワーアップしていなければ ビッグマッチでチャンスはあるかもしれない
STG_61_3216418ba9ee4b068876b913bb3ccef2,35602782823112704,さあ スクイッシー！やってもらうことが山ほどあるぞ！
STG_62_3216418ba9ee4b068876b913bb3ccef2,35605031553064960,あのデカいミートコアは まさに医者の処方通りだ<br>心配するな　意味はすぐにわかる　オゥ イェー
STG_63_3216418ba9ee4b068876b913bb3ccef2,35606803042525184,あの船がウロチョロしてる限り どこへも行けないぞ スクイッシー<br>だから 全部片付けちまおう
STG_64_3216418ba9ee4b068876b913bb3ccef2,35607727056084992,おっと！壊れた古い船はもう問題じゃないぞ スクイッシー
STG_65_3216418ba9ee4b068876b913bb3ccef2,35935343428493312,さて スクイッシー　キミがそこにいる間 こっちは用事を片付ける
STG_66_9850ab8dd16e4c88acd86a61b4b87604,35935343436881920,よし 本格的な訓練を始めるぞ　ダンガス山で会おう
STG_67_97cd5e01156b401fb6af882b1854b014,37636387732709376,やあ スクイッシー　キミがやってくれたことには本当に感謝してる...
STG_68_97cd5e01156b401fb6af882b1854b014,37638091802927104,...ただちょっと問題がある　どうやら君はまだ正式にチームに入っていないらしい！
STG_69_97cd5e01156b401fb6af882b1854b014,37638091807121408,さあ 書類を片付けて戻ってこい　フィールドに戻る準備をしないとな！
STG_7_253905826c564fb2a5270da3f6110546,33120374009880576,おいおい！ちょっと待て<br>ここにナンバーワンの誕生日って書いてある...
STG_71_e58baca8b4594c5c8b9ee8eb81f7ecb2,37759772638830592,[ムシャムシャ]
STG_72_a644546f9bb14ed1bab969e3c0e91ae8,37759772638830593,味がすると思うんだが...
STG_73_782afe4905044999baa6ba80ab59e5c3,37759772638830594,...カール！
STG_74_354fe9732f974003a3c36d9537d17af2,38614139122212864,やられた！持たない！
STG_75_354fe9732f974003a3c36d9537d17af2,38614139126407168,ああっ！
STG_76_e58baca8b4594c5c8b9ee8eb81f7ecb2,38614139126407169,あ あれは... ミートキャッスルだ
STG_77_354fe9732f974003a3c36d9537d17af2,38614139126407170,これは異常だ！ここから出ないと！
STG_78_354fe9732f974003a3c36d9537d17af2,38614139126407171,あわわわ まずいぞ
STG_79_354fe9732f974003a3c36d9537d17af2,38614139126407172,奴ら ミートマジックを使いやがる！
STG_8_253905826c564fb2a5270da3f6110546,33128087053918208,誰だ！？おい！なあ！<br>新しいやつが来るときに知らせが来るはずだろ　ったく！  
STG_80_354fe9732f974003a3c36d9537d17af2,38614139126407173,フロントガラスにいる！<br>ロクシー 新しいミートはどうだ！？
STG_81_354fe9732f974003a3c36d9537d17af2,38614139126407174,グラッシー しっかりつかまれ
STG_82_354fe9732f974003a3c36d9537d17af2,38614139126407175,ガタガタいってる... 急いで逃げないと<br>今すぐ出るぞ！
STG_83_67ffa4aa801547e08f42ad692cdaa0a5,43573508251312128,ちょっかい出すなよ わかったか？
STG_83_af11e610266c43dfa34d0537058cd719,43571889296105472,降りて DNAをしっかり調べろ
STG_83_e58baca8b4594c5c8b9ee8eb81f7ecb2,43570063645597696,スマートミートを持ってるからって 頭がスマートってわけじゃない
STG_84_9850ab8dd16e4c88acd86a61b4b87604,45655991562264576,言いにくいが この戦いは公平とはいえない<br>見ろ こいつらミュータントはグリジーガルプでパワーアップしてる
STG_85_9850ab8dd16e4c88acd86a61b4b87604,45655991562264577,よし チャンピオン　これがキミの訓練の成果だ！
STG_9_253905826c564fb2a5270da3f6110546,33128087058112512,さて ちゃんと紹介したいところだが<br>残念ながら初日に遅刻してる！
ABC_Name_1,346366113996800,ビーム
ABC_Name_2,346366126579712,範囲攻撃
ABC_Name_3,346366126579713,召喚
ABC_Name_4,346366126579714,発射体
ABC_Name_5,346366126579715,バフ
ABC_Name_6,346366126579716,移動
ABL_Desc_2,346366126579718,周囲の敵を撃つタレットを設置する。
ABL_Name_2,346366126579717,バリスティックタレット
ABL_Desc_3,346366126579720,チャージしてから前方に突進し、爆発する。
ABL_Name_3,346366126579719,ターボチャージ
ABL_Desc_7,346366126579722,"<#FFEB04><link=""Keyword:12"">[電撃]</link></color>ダメージを与える爆弾を投げる。"
ABL_Name_7,346366126579721,エネルギーボム
ABL_Desc_8,346366126579724,向いている方向に素早く移動する。
ABL_Name_8,346366126579723,ダッシュ
ABL_Desc_9,346366126579726,"相棒のリセットを呼んで助けてもらう！<br>周囲の敵を引き寄せ、<#FFEB04><link=""Keyword:5"">[物理]</link></color>ダメージのパルスを与える。"
ABL_Name_9,346366126579725,フリーハグ
ABL_Desc_27,346366126579728,衝撃で爆発する大型ロケットを投げる。
ABL_Name_27,346366126579727,ミートミサイル
ABL_Desc_52,346366130774017,地雷を一列に設置する。
ABL_Name_52,346366130774016,地雷
ABL_Desc_53,346366130774019,"前方にテレポートし、エアウォークを得る。<br>10秒間、近接攻撃で与える<#FFEB04><link=""Keyword:5"">[物理]</link></color>ダメージが50%増加する。"
ABL_Name_53,346366130774018,ウィンドウォーク
ABL_Desc_56,346366130774021,"衝撃波を発生させて<#FFEB04><link=""Keyword:5"">[物理]</link></color>ダメージを与え、敵をノックバックさせる。"
ABL_Name_56,346366130774020,ブラストウェーブ
ABL_Desc_63,346366130774023,前方にダッシュして、通った後に爆発を引き起こす。
ABL_Name_63,346366130774022,エクスプロージョンダッシュ
ABL_Desc_64,346366130774025,タップでジャンプし、長押しで高くジャンプする。<br>空中で使用すると勢いよく落下する。
ABL_Name_64,346366130774024,バンザイドロップ
ABL_Desc_66,346366130774027,移動方向に素早く滑る。
ABL_Name_66,346366130774026,スクイッシースライド
ABL_Desc_68,346366130774029,敵をおびき寄せるおやつを出し、それを攻撃した敵にダメージを与え、スタンを付与する。
ABL_Name_68,346366130774028,スーパーミートマッシュ
ABL_Desc_69,346366130774031,"<#FFEB04><link=""Keyword:5"">[物理]</link></color>ダメージを与える爆弾を投げる。"
ABL_Desc_71,28309369228615680,"<#FFEB04><link=""Keyword:13"">[火]</link></color>ダメージの衝撃波を発生させ、敵をノックバックさせる。"
ABL_Desc_73,346366130774035,ガルプをキメてスーパーヒーローに変身！<br>攻撃速度+500%、ダメージ5倍、ジャンプ追加、移動速度アップ！
ABL_Name_73,346366130774034,グリジーガルプ
ABL_Desc_78,346366130774041,"<#FFEB04><link=""Keyword:14"">[スライム]</link></color>ダメージを与える爆弾を投げる。"
ABL_Desc_79,28309369232809984,"<#FFEB04><link=""Keyword:14"">[スライム]</link></color>ダメージの衝撃波を発生させ、敵をノックバックさせる。"
ABL_Desc_80,28309369232809985,"<#FFEB04><link=""Keyword:12"">[電撃]</link></color>ダメージの衝撃波を発生させ、敵をノックバックさせる。"
ABL_Desc_81,346366130774047,前方移動速度が上昇する。長押しで長距離ダッシュする。
ABL_Name_81,346366130774046,ダッシュ
ABL_Desc_82,346366130774049,"<#FFEB04><link=""Keyword:15"">[氷]</link></color>ダメージを与える爆弾を投げる。"
